,player,response,round,rt
253,253,1,0,7.05
254,254,1,0,1.27
255,255,1,0,5.07
256,256,1,0,2.0300000000000002
257,257,1,0,4.34
258,258,1,0,1.68
259,259,1,0,3.73
260,260,1,0,4.9
261,261,1,0,6.75
262,262,1,0,9.89
263,263,1,0,1.3800000000000001
264,264,1,0,2.39
265,265,1,0,2.98
266,266,1,0,8.08
267,267,0,0,2.8000000000000003
268,268,1,0,4.84
269,269,1,0,2.86
270,270,1,0,9.35
271,271,1,0,2.06
272,272,1,0,2.84
273,273,1,0,6.11
274,274,1,0,4.79
275,275,1,0,4.3
276,276,1,0,2.99
277,277,1,0,12.16
278,278,1,0,12.58
279,279,1,0,2.62
280,280,1,0,5.44
281,281,1,0,4.18
282,282,1,0,2.38
283,283,1,0,0.91
284,284,1,0,3.9
285,285,1,0,9.13
286,286,1,0,4.36
287,287,1,0,2.89
288,288,1,0,6.41
289,289,1,0,4.49
290,290,1,0,1.68
291,291,1,0,3.25
292,292,1,0,1.76
293,293,1,0,6.11
294,294,1,0,3.6
295,295,1,0,3.96
296,296,1,0,1.25
297,297,1,0,2.56
298,298,1,0,2.68
299,299,1,0,4.28
300,300,1,0,5.23
301,301,1,0,2.84
302,302,1,0,3.5500000000000003
303,303,1,0,3.96
304,304,1,0,6.7700000000000005
305,305,1,0,2.93
306,306,1,0,2.13
307,307,1,0,3.94
308,308,1,0,1.97
309,309,1,0,3.29
310,310,1,0,2.33
311,311,1,0,2.41
312,312,1,0,3.16
313,313,1,0,6.96
314,314,1,0,3.3000000000000003
315,315,1,0,1.82
316,316,1,0,5.1000000000000005
317,317,0,0,11.13
318,318,1,0,4.01
319,319,1,0,3.36
320,320,1,0,1.72
321,321,1,0,3.77
322,322,1,0,2.0100000000000002
323,323,1,0,8.700000000000001
324,324,0,0,6.43
325,325,0,0,1.86
326,326,1,0,5.8100000000000005
327,327,1,0,5.09
328,328,0,0,4.18
329,329,0,0,1.8900000000000001
330,330,1,0,3.06
331,331,1,0,1.98
332,332,1,0,3.24
333,333,1,0,3.37
334,334,1,0,5.05
335,335,0,0,2.27
336,336,1,0,1.44
337,337,1,0,4.76
338,338,1,0,5.5200000000000005
339,339,1,0,5.25
340,340,1,0,9.26
341,341,1,0,2.71
342,342,1,0,3.0700000000000003
343,343,1,0,7.03
344,344,1,0,1.94
345,345,1,0,4.16
346,346,1,0,8.32
347,347,1,0,6.42
348,348,1,0,5.69
349,349,1,0,1.28
350,350,1,0,3.0500000000000003
351,351,1,0,4.32
352,352,1,0,3.42
353,353,1,0,6.13
354,354,1,0,3.5700000000000003
355,355,1,0,3.61
356,356,1,0,8.45
357,357,1,0,1.12
358,358,1,0,5.5600000000000005
359,359,1,0,2.15
360,360,1,0,3.91
361,361,1,0,7.18
362,362,1,0,11.46
363,363,1,0,3.04
364,364,1,0,4.68
365,365,1,0,8.22
366,366,1,0,7.68
367,367,1,0,7.49
368,368,1,0,3.0
369,369,1,0,3.75
370,370,0,0,2.27
371,371,0,0,3.19
372,372,1,0,1.7
373,373,1,0,2.47
374,374,1,0,2.61
375,375,1,0,0.98
376,376,0,0,4.2
377,377,1,0,1.24
378,378,1,0,10.67
379,379,1,0,5.08
380,380,1,0,3.87
381,381,0,0,0.5700000000000001
382,382,1,0,1.98
383,383,1,0,5.36
384,384,1,0,4.2
385,385,1,0,6.28
386,386,1,0,6.26
387,387,1,0,11.16
388,388,1,0,4.96
389,389,1,0,8.69
390,390,1,0,1.6400000000000001
391,391,1,0,2.14
392,392,1,0,12.51
393,393,1,0,4.8
394,394,1,0,3.7600000000000002
395,395,1,0,2.37
396,396,1,0,1.58
397,397,1,0,3.95
398,398,1,0,8.6
399,399,0,0,2.5100000000000002
400,400,1,0,0.86
401,401,1,0,2.4
402,402,0,0,0.9400000000000001
403,403,1,0,2.61
404,404,1,0,4.86
405,405,1,0,4.07
406,406,1,0,2.6
407,407,0,0,1.54
408,408,1,0,2.64
409,409,1,0,3.25
410,410,1,0,5.05
411,411,1,0,3.63
412,412,1,0,3.06
413,413,1,0,3.23
414,414,1,0,5.3500000000000005
415,415,1,0,6.41
416,416,1,0,8.91
417,417,0,0,4.49
418,418,1,0,4.87
419,419,1,0,7.01
420,420,1,0,7.3500000000000005
421,421,1,0,4.16
422,422,1,0,4.75
423,423,1,0,4.44
424,424,1,0,2.5500000000000003
425,425,1,0,6.19
426,426,1,0,5.9
427,427,1,0,1.54
428,428,1,0,2.3000000000000003
429,429,1,0,3.45
430,430,1,0,1.24
431,431,1,0,1.47
432,432,1,0,4.05
433,433,1,0,2.5
434,434,1,0,4.79
435,435,1,0,1.78
436,436,1,0,12.35
437,437,1,0,3.84
438,438,1,0,7.5
439,439,0,0,2.98
440,440,1,0,1.49
441,441,1,0,0.76
442,442,1,0,4.07
443,443,1,0,4.12
444,444,1,0,5.5
445,445,1,0,1.97
446,446,1,0,8.9
447,447,0,0,1.09
448,448,1,0,6.91
449,449,1,0,4.75
450,450,1,0,2.04
451,451,1,0,6.82
452,452,1,0,5.89
453,453,1,0,10.42
454,454,1,0,8.18
455,455,1,0,2.73
456,456,1,0,16.330000000000002
457,457,1,0,8.58
458,458,1,0,4.49
459,459,1,0,0.88
460,460,1,0,1.83
461,461,1,0,7.140000000000001
462,462,0,0,3.16
463,463,1,0,1.59
464,464,1,0,6.76
465,465,1,0,5.5600000000000005
466,466,1,0,1.9100000000000001
467,467,1,0,1.8800000000000001
468,468,1,0,3.0300000000000002
469,469,1,0,2.8000000000000003
470,470,1,0,1.98
471,471,1,0,2.19
472,472,1,0,5.48
473,473,1,0,7.32
474,474,1,0,4.51
475,475,1,0,2.46
476,476,1,0,3.61
477,477,1,0,6.3
478,478,1,0,4.08
479,479,1,0,2.92
480,480,1,0,4.3500000000000005
481,481,1,0,3.5
482,482,1,0,3.74
483,483,1,0,4.07
484,484,1,0,1.08
485,485,0,0,1.43
486,486,1,0,6.66
487,487,1,0,3.02
488,488,1,0,7.96
489,489,1,0,2.43
490,490,1,0,3.42
491,491,1,0,7.16
492,492,0,0,4.45
493,493,1,0,2.5300000000000002
494,494,1,0,4.72
495,495,1,0,4.15
496,496,1,0,6.19
497,497,1,0,3.61
498,498,1,0,1.26
499,499,1,0,12.21
500,500,1,0,2.58
501,501,1,0,6.67
502,502,1,0,1.29
503,503,1,0,6.72
504,504,1,0,3.71
505,505,1,0,2.4
506,506,1,0,2.45
507,507,1,0,3.95
508,508,1,0,2.12
509,509,1,0,7.3100000000000005
510,510,0,0,14.030000000000001
511,511,1,0,1.86
512,512,1,0,1.6300000000000001
513,513,0,0,13.81
514,514,1,0,1.6500000000000001
515,515,1,0,6.74
516,516,1,0,3.63
517,517,1,0,4.48
518,518,1,0,4.53
519,519,1,0,3.56
520,520,1,0,4.49
521,521,0,0,2.0300000000000002
