round user time_start time_end time_php time_js
1 usuario14 1462282609.77 1462282604.58 -5185.19997597 18717
1 usuario1 1462282609.99 1462282590.47 -19521.3999748 4353
1 usuario11 1462282610.04 1462282589.38 -20665.199995 3447
1 usuario2 1462282610.08 1462282592.37 -17713.7000561 6552
1 usuario15 1462282609.98 1462282595.58 -14396.2001801 10201
1 usuario4 1462282610.05 1462282592.58 -17472.39995 6846
1 usuario8 1462282609.45 1462282609.42 -32.6998233795 23753
1 usuario6 1462282610.01 1462282596.6 -13418.6999798 10823
1 usuario10 1462282609.31 1462282600.02 -9285.79998016 14218
1 usuario5 1462282610.19 1462282591.57 -18619.9998856 5479
1 usuario16 1462282610.05 1462282592.3 -17752.0999908 6298
1 usuario13 1462282609.8 1462282598.45 -11349.0998745 12654
1 usuario7 1462282609.55 1462282593.09 -16466.0000801 7744
1 usuario3 1462282609.92 1462282597.57 -12345.9000587 11464
1 usuario9 1462282609.69 1462282599.27 -10414.4999981 13195
1 usuario12 1462282609.73 1462282589.16 -20564.2001629 3603
2 usuario14 1462282630.68 1462282624.47 -6213.39988708 13646
2 usuario1 1462282631.26 1462282615.74 -15516.5998936 4699
2 usuario11 1462282630.38 1462282614.88 -15504.1999817 3780
2 usuario2 1462282630.51 1462282615.77 -14742.7000999 4600
2 usuario15 1462282631.31 1462282625.07 -6240.80014229 14036
2 usuario4 1462282631.28 1462282619.92 -11356.5998077 8814
2 usuario8 1462282630.39 1462282629.3 -1089.99991417 18783
2 usuario6 1462282630.99 1462282622.66 -8327.19993591 11588
2 usuario10 1462282631.29 1462282631.25 -39.5998954773 20872
2 usuario5 1462282630.6 1462282623.34 -7263.4999752 12084
2 usuario16 1462282630.47 1462282616.86 -13611.2999916 5730
2 usuario13 1462282630.45 1462282619.09 -11363.1000519 8228
2 usuario7 1462282630.87 1462282629.78 -1085.89982986 19173
2 usuario3 1462282630.8 1462282622.52 -8286.00001335 11542
2 usuario9 1462282630.65 1462282618.04 -12606.400013 7301
2 usuario12 1462282631.11 1462282617.73 -13377.9001236 6945
3 usuario14 1462282646.22 1462282642.07 -4153.80001068 10330
3 usuario1 1462282645.98 1462282635.67 -10307.2998524 3292
3 usuario11 1462282645.83 1462282633.45 -12384.5999241 2013
3 usuario2 1462282646.36 1462282640.06 -6300.10008812 8461
3 usuario15 1462282645.6 1462282638.35 -7247.40004539 5991
3 usuario4 1462282645.48 1462282643.37 -2102.69999504 11043
3 usuario8 1462282645.56 1462282641.41 -4155.49993515 9966
3 usuario6 1462282645.74 1462282635.4 -10347.0001221 3349
3 usuario10 1462282646.17 1462282638.93 -7239.10021782 6563
3 usuario5 1462282646.23 1462282646.19 -41.5999889374 14536
3 usuario16 1462282645.83 1462282635.38 -10450.8001804 3846
3 usuario13 1462282646.0 1462282636.71 -9293.29991341 5208
3 usuario7 1462282645.9 1462282641.74 -4163.19990158 9815
3 usuario3 1462282645.56 1462282643.46 -2101.6998291 11596
3 usuario9 1462282646.1 1462282640.89 -5211.29989624 9177
3 usuario12 1462282646.22 1462282641.03 -5184.89980698 8868
4 usuario14 1462282666.46 1462282659.22 -7236.29999161 11915
4 usuario1 1462282667.09 1462282649.52 -17571.2001324 2489
4 usuario11 1462282667.24 1462282649.74 -17508.1000328 2850
4 usuario2 1462282667.4 1462282650.6 -16799.2999554 3160
4 usuario15 1462282667.23 1462282658.98 -8249.20010567 12293
4 usuario4 1462282667.12 1462282667.09 -29.599905014 20533
4 usuario8 1462282667.1 1462282663.97 -3128.60012054 17326
4 usuario6 1462282667.24 1462282652.77 -14461.3001347 5971
4 usuario10 1462282667.02 1462282652.57 -14443.5999393 5346
4 usuario5 1462282666.46 1462282658.2 -8255.59997559 10861
4 usuario16 1462282666.73 1462282649.91 -16815.0000572 2995
4 usuario13 1462282667.06 1462282653.67 -13391.600132 6612
4 usuario7 1462282666.87 1462282660.66 -6208.19997787 13666
4 usuario3 1462282667.46 1462282653.04 -14421.900034 6421
4 usuario9 1462282667.46 1462282651.92 -15536.9000435 4762
4 usuario12 1462282666.71 1462282653.22 -13485.699892 5955
5 usuario14 1462282692.28 1462282679.92 -12363.0001545 12407
5 usuario1 1462282691.65 1462282670.91 -20741.5001392 2771
5 usuario11 1462282692.47 1462282670.77 -21702.1000385 2468
5 usuario2 1462282691.97 1462282677.3 -14669.6999073 8798
5 usuario15 1462282691.76 1462282680.4 -11361.4001274 12107
5 usuario4 1462282691.77 1462282674.29 -17484.9998951 6086
