,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
248,a,2.643975357,0.0660847,2.516808693,2.598719354,2.642998721,2.68925002,2.77197907,0.000992721,62
249,v,0.058980651,0.046457816,-0.031180317,0.027908666,0.058886593,0.089638128,0.15117989,0.000655825,62
250,t,0.151503607,0.028029091,0.093436153,0.1327064,0.152228418,0.171076089,0.204241778,0.000430509,62
251,z,0.522564879,0.016995643,0.489611628,0.511043894,0.522687699,0.533704423,0.556817826,0.000241659,62
252,a,2.628807265,0.065301635,2.502418464,2.585230577,2.626796216,2.672522523,2.759536998,0.000941486,63
253,v,0.077714231,0.047270618,-0.013332912,0.046254119,0.077362217,0.109621899,0.173215241,0.00075351,63
254,t,0.146906179,0.027661489,0.089905229,0.128329536,0.147581671,0.165833484,0.198716326,0.000416377,63
255,z,0.509826518,0.017165958,0.475810957,0.498411352,0.509828998,0.521356388,0.543411491,0.000267699,63
256,a,2.564232716,0.063936553,2.439674392,2.520220624,2.563185327,2.606862443,2.692170112,0.001050467,64
257,v,0.094950237,0.047562859,0.002006947,0.062747161,0.094741121,0.127724724,0.186805644,0.000631047,64
258,t,0.149487912,0.026471381,0.094885169,0.132083593,0.150220825,0.167817553,0.199286578,0.000412889,64
259,z,0.497159771,0.016958719,0.463768323,0.485735957,0.497352893,0.508725062,0.529644429,0.000229562,64
260,a,2.525390632,0.063409547,2.407354149,2.481557562,2.523478642,2.56706239,2.654818351,0.001043804,65
261,v,0.09884452,0.048776708,0.004481584,0.06637671,0.098556244,0.131835935,0.194984946,0.000669501,65
262,t,0.16427323,0.026302119,0.108823602,0.147340437,0.165423121,0.182917592,0.212058718,0.000428143,65
263,z,0.500883662,0.016911324,0.467382416,0.489449424,0.501177028,0.512533498,0.533626594,0.000231285,65
264,a,2.503221623,0.062151476,2.388072065,2.460301795,2.501677959,2.544656928,2.627377725,0.000802144,66
265,v,0.091866504,0.049391972,-0.004220111,0.058241105,0.091907763,0.125036041,0.189648485,0.000706837,66
266,t,0.175026772,0.025715203,0.121811592,0.158313669,0.176206743,0.192971693,0.222087614,0.000335675,66
267,z,0.506268378,0.016815472,0.472687903,0.494978075,0.506449139,0.517832133,0.538797004,0.000249926,66
268,a,2.515218237,0.063732162,2.393510097,2.471686548,2.514830272,2.558110308,2.640485755,0.000986428,67
269,v,0.0976119,0.048449576,0.002446703,0.06534619,0.097794012,0.130472472,0.193728051,0.00068227,67
270,t,0.176465451,0.025889875,0.12379739,0.1590047,0.177537397,0.194265112,0.224987623,0.000378687,67
271,z,0.505019316,0.017068171,0.471032021,0.493670856,0.505291609,0.516425979,0.538290292,0.000240083,67
272,a,2.503061625,0.063513844,2.38030644,2.45995953,2.501464408,2.544614673,2.630037528,0.00091092,68
273,v,0.113699531,0.050016577,0.016394368,0.079989667,0.113200572,0.147752519,0.212957169,0.000644523,68
274,t,0.190301732,0.026171218,0.137334949,0.173047164,0.191367936,0.208389964,0.238956017,0.000428404,68
275,z,0.50638619,0.017027771,0.472424009,0.495274539,0.506407563,0.517809901,0.539211032,0.000215554,68
276,a,2.507602086,0.063162248,2.386221112,2.464239802,2.506799123,2.549298904,2.634791246,0.001049125,69
277,v,0.120949497,0.049115429,0.025382983,0.088359206,0.121142364,0.154293995,0.217597845,0.000603449,69
278,t,0.187990623,0.026183337,0.133322099,0.170966176,0.18882718,0.206111792,0.237361578,0.000463659,69
279,z,0.507290596,0.016795727,0.474133199,0.495912074,0.507137646,0.518601627,0.540290817,0.000214841,69
280,a,2.50598553,0.063277782,2.387209278,2.461775489,2.503599541,2.547451252,2.635181902,0.000924384,70
281,v,0.124246845,0.049322257,0.026270506,0.091612927,0.12411876,0.157385409,0.219241436,0.000655873,70
282,t,0.19036003,0.025767925,0.136159095,0.173475264,0.191534101,0.208143979,0.237613844,0.000406914,70
283,z,0.514249907,0.017117871,0.480653293,0.502899925,0.514298538,0.525844697,0.547651649,0.000229803,70
284,a,2.490712244,0.062839478,2.369344171,2.448492768,2.489158349,2.53195139,2.618173044,0.000944891,71
285,v,0.133982989,0.04916937,0.038507317,0.101465047,0.133833847,0.166474106,0.232091606,0.000624798,71
286,t,0.186784863,0.025660203,0.133115753,0.170201943,0.18796799,0.204778349,0.2330002,0.000371557,71
287,z,0.50870518,0.016753906,0.475995249,0.497608985,0.508854199,0.51992825,0.541995995,0.000235811,71
288,a,2.557025167,0.065072333,2.432836024,2.512872727,2.555301502,2.600865666,2.687022239,0.001026016,72
289,v,0.172911897,0.048605893,0.076466011,0.140778281,0.17344437,0.205960937,0.266309535,0.000679622,72
290,t,0.163750517,0.027059328,0.107848755,0.145823442,0.165073223,0.182634602,0.213434627,0.000464406,72
291,z,0.496694997,0.017225873,0.462491746,0.485195538,0.496691684,0.508563731,0.530463534,0.000235108,72
292,a,2.579355763,0.065341236,2.454779779,2.534813588,2.577286382,2.622034476,2.711854161,0.000969935,73
293,v,0.218399824,0.047810839,0.124270101,0.186362916,0.218038492,0.250880769,0.312874905,0.000567967,73
294,t,0.155674045,0.027049159,0.100661422,0.137553727,0.156554489,0.174603238,0.206174022,0.000377157,73
295,z,0.48998685,0.016780943,0.456388677,0.47907216,0.490064313,0.501384606,0.522418685,0.000219182,73
296,a,2.618637835,0.066025437,2.491502409,2.573684632,2.617920688,2.662171926,2.748652988,0.001047708,74
297,v,0.215658439,0.04718922,0.123626612,0.183678052,0.216113347,0.247495853,0.308476704,0.000648942,74
298,t,0.141945547,0.027756274,0.084355422,0.123503434,0.143057183,0.161630232,0.192972398,0.000460405,74
299,z,0.489609129,0.01701114,0.456271727,0.4781431,0.489606859,0.501249705,0.522610044,0.000246049,74
300,a,2.580647108,0.064986327,2.454785746,2.536048799,2.580948944,2.624146533,2.710306499,0.001015048,75
301,v,0.218683171,0.048015754,0.123839916,0.186851558,0.219102446,0.250827251,0.312201143,0.000552512,75
302,t,0.156077757,0.027091266,0.100636463,0.138227651,0.156826685,0.175339445,0.206356722,0.000407751,75
303,z,0.493332417,0.016942143,0.459439858,0.482088977,0.493230701,0.505094506,0.526353045,0.000205569,75
304,a,2.63260824,0.067297077,2.502249684,2.585976558,2.631946398,2.677656731,2.767018932,0.001063709,76
305,v,0.225470845,0.047982442,0.130590189,0.193350288,0.225213694,0.2584263,0.318280389,0.000615798,76
306,t,0.152546069,0.028028631,0.095497479,0.134290127,0.153155885,0.172054683,0.205159029,0.00044275,76
307,z,0.500121059,0.017223943,0.466828956,0.488607087,0.500087839,0.511963447,0.533678532,0.000239692,76
