,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
265,v,1.304015043,0.179195688,0.954390586,1.184406259,1.305666111,1.423083481,1.658582182,0.003396499,66
266,t,0.200023752,0.013717973,0.16756438,0.19234313,0.202009809,0.209744822,0.221268212,0.000235963,66
267,z,0.552687318,0.042871409,0.464964798,0.524376451,0.553688314,0.582205891,0.632039862,0.000898156,66
268,a,1.852278706,0.126723348,1.622296774,1.763426509,1.846354362,1.933614984,2.116578312,0.00228319,67
269,v,1.037636513,0.178034589,0.688623941,0.916372548,1.034689652,1.157830577,1.38941991,0.003048029,67
270,t,0.299973759,0.01041897,0.275718347,0.294105554,0.301512904,0.307403578,0.315687967,0.000181021,67
271,z,0.667423884,0.035715705,0.592728406,0.644424311,0.669132112,0.691765375,0.734454221,0.000822883,67
272,a,1.996265665,0.140588901,1.741217367,1.89800571,1.990659183,2.085290926,2.289629926,0.002559814,68
273,v,1.074256911,0.173306838,0.739571612,0.957677585,1.072555393,1.191268972,1.418851983,0.00285684,68
274,t,0.284044858,0.013407361,0.252005146,0.27675268,0.285996983,0.293577831,0.30465803,0.000238198,68
275,z,0.67016381,0.037706911,0.590451081,0.646774359,0.672275111,0.696021191,0.737991618,0.000834733,68
276,a,2.267207931,0.188990662,1.92724713,2.134219199,2.25376484,2.385730429,2.676695637,0.003694885,69
277,v,1.042197125,0.164202462,0.717519208,0.931703155,1.043499952,1.154483159,1.356464915,0.003149746,69
278,t,0.282447461,0.013979167,0.249559941,0.274286549,0.284440953,0.292490752,0.304134269,0.000288699,69
279,z,0.703830885,0.036758081,0.626114172,0.679990309,0.706917384,0.729644953,0.767513326,0.001003118,69
280,a,2.419307864,0.225733962,2.02962297,2.261620428,2.401179647,2.55571035,2.91809052,0.005165268,70
281,v,1.104389969,0.159900041,0.788032615,0.997050175,1.10348772,1.210914655,1.421293212,0.002984263,70
282,t,0.285268445,0.014258997,0.251206227,0.277263951,0.287460524,0.295726413,0.306562189,0.000278169,70
283,z,0.721843477,0.036221108,0.644933694,0.697904947,0.724118044,0.747240494,0.787422151,0.000953226,70
284,a,2.716357941,0.308059999,2.200937947,2.497444849,2.691347849,2.902558008,3.403598127,0.008605978,71
285,v,1.120363095,0.161498196,0.800584014,1.013423766,1.119441191,1.227878254,1.438713081,0.002834802,71
286,t,0.282686067,0.015125932,0.246943163,0.274263132,0.284987287,0.293639566,0.305200739,0.000288571,71
287,z,0.749680683,0.036094946,0.674420677,0.726166113,0.751834881,0.775378721,0.813647236,0.00109756,71
288,a,2.721793057,0.312428202,2.1930772,2.501605703,2.693476388,2.904902292,3.427974866,0.008927903,72
289,v,1.112856641,0.161952078,0.80165464,1.000733955,1.110526956,1.221012877,1.434879069,0.003053741,72
290,t,0.282684702,0.015096419,0.2467587,0.274583132,0.284988306,0.293589558,0.305292494,0.00034772,72
