,parameter,mean,std,2.5q,25q,50q,75q,97.5q,mc err,round
80,a,3.299904756,0.06730943,3.169810878,3.25403472,3.298555259,3.344793673,3.435225443,0.000959215,20
81,v,-0.264947288,0.031954415,-0.327915516,-0.28671412,-0.264641412,-0.243200749,-0.202632993,0.000483807,20
82,t,0.235500978,0.030508087,0.172233459,0.215787731,0.236530921,0.256916056,0.291303958,0.000409866,20
83,z,0.485340841,0.014682155,0.456426819,0.475551371,0.485405117,0.49523002,0.514096742,0.000224346,20
84,a,3.219333486,0.062623173,3.095221676,3.176450124,3.219383763,3.26053478,3.344851963,0.000894302,21
85,v,-0.252417474,0.032313173,-0.315296119,-0.274104345,-0.252510104,-0.230108058,-0.189634844,0.000435018,21
86,t,0.216292062,0.02670191,0.159888403,0.199159605,0.217814878,0.234676764,0.265643834,0.000396613,21
87,z,0.500750286,0.013854389,0.473301643,0.49161476,0.500644486,0.510047338,0.527966524,0.000186964,21
88,a,3.186128138,0.061875489,3.066657714,3.143800592,3.185539634,3.227722903,3.309858653,0.000844256,22
89,v,-0.267716964,0.032910789,-0.332709769,-0.290255211,-0.267828094,-0.245738736,-0.203137492,0.000476166,22
90,t,0.21978865,0.025500788,0.165869248,0.20344572,0.221276885,0.237360192,0.266190382,0.000357302,22
91,z,0.509454407,0.014236078,0.4821556,0.499829756,0.509298103,0.518950186,0.537368204,0.000191007,22
92,a,3.117875071,0.060267949,3.000990848,3.077162402,3.117212783,3.157607145,3.239310028,0.0009053,23
93,v,-0.262041102,0.033662732,-0.327483063,-0.284628452,-0.261799421,-0.239889626,-0.196113611,0.000480498,23
94,t,0.228889489,0.023743256,0.178617379,0.213602254,0.230265756,0.245345588,0.271978595,0.000394441,23
95,z,0.507741514,0.014321166,0.480255134,0.498087198,0.507483462,0.51734478,0.536693146,0.000217931,23
96,a,3.059517204,0.05958007,2.946384105,3.018337729,3.059343482,3.098970421,3.179067517,0.000686337,24
97,v,-0.253354729,0.034456414,-0.322282639,-0.276514214,-0.252951395,-0.229780964,-0.186053007,0.000422008,24
98,t,0.22755067,0.022543876,0.180051431,0.212563082,0.22884028,0.243156391,0.268441851,0.000273632,24
99,z,0.50078485,0.01436284,0.472390924,0.491111173,0.50080781,0.510454605,0.529036591,0.000160555,24
100,a,3.030255697,0.058473765,2.91726846,2.99013763,3.029406621,3.069443181,3.146166297,0.000773524,25
101,v,-0.237935703,0.034025683,-0.304811708,-0.261404287,-0.237701052,-0.214472209,-0.172260595,0.000516384,25
102,t,0.238633012,0.021506483,0.193197863,0.224843069,0.23970424,0.253536641,0.277594695,0.000292135,25
103,z,0.490231169,0.014154849,0.462893206,0.480401687,0.490186439,0.499737412,0.518207929,0.000216383,25
104,a,2.937199122,0.055974942,2.830687401,2.898740912,2.936620571,2.974465142,3.049707671,0.000768559,26
105,v,-0.258049902,0.03568467,-0.329266444,-0.282194274,-0.257967746,-0.233562004,-0.189231292,0.000516301,26
106,t,0.243364912,0.020072298,0.200980793,0.230342225,0.244523885,0.257256603,0.27974483,0.00027568,26
107,z,0.49476549,0.0143697,0.466514788,0.485110342,0.494875868,0.504435964,0.523091817,0.000220017,26
108,a,2.928325599,0.057844665,2.816450352,2.888258898,2.927531031,2.967579313,3.043137301,0.000718736,27
109,v,-0.248195031,0.035854193,-0.31847147,-0.272554262,-0.248223187,-0.223771727,-0.17778075,0.000539929,27
110,t,0.259551145,0.021021079,0.214947156,0.245979969,0.260959513,0.274266451,0.297460656,0.000288659,27
111,z,0.479891182,0.014299219,0.451996554,0.470190234,0.480019051,0.489633554,0.507726733,0.000188121,27
112,a,2.939892063,0.0569835,2.830560886,2.901232041,2.938886411,2.97811138,3.053466161,0.000741327,28
113,v,-0.26069207,0.03566272,-0.329743742,-0.284763283,-0.260639043,-0.236693202,-0.190409519,0.00048913,28
114,t,0.258643337,0.021489742,0.213743011,0.244787303,0.259657858,0.273686848,0.297428319,0.000300481,28
115,z,0.473676245,0.014299334,0.445641337,0.463956335,0.473453949,0.483347347,0.502561242,0.000200604,28
116,a,2.97224971,0.057004827,2.863323924,2.933642635,2.971722595,3.010598256,3.084915094,0.000745903,29
117,v,-0.304485765,0.036346334,-0.375531781,-0.328579114,-0.30435437,-0.280368231,-0.232580986,0.000525355,29
118,t,0.187969641,0.01940135,0.146140318,0.175659231,0.18922219,0.202084445,0.221491816,0.000253922,29
119,z,0.488597495,0.014751134,0.459664228,0.478717292,0.488404537,0.498480391,0.517607071,0.000221896,29
120,a,2.942376027,0.054880462,2.837763401,2.90427831,2.941698192,2.97903548,3.054098863,0.000743443,30
121,v,-0.327753604,0.036267193,-0.397223534,-0.352400577,-0.328055858,-0.303518569,-0.256272781,0.000572693,30
122,t,0.191918725,0.018092926,0.153234256,0.180776283,0.193301889,0.204577891,0.223169751,0.000264776,30
123,z,0.498354708,0.014375488,0.470391631,0.488481391,0.498467448,0.507942735,0.526428455,0.000211145,30
124,a,2.880710946,0.055442672,2.774475577,2.842876207,2.878809076,2.917367246,2.991650736,0.000743563,31
125,v,-0.325387078,0.036754548,-0.39752149,-0.349644731,-0.32562895,-0.301140383,-0.251952034,0.000487097,31
126,t,0.187174024,0.018816587,0.146640885,0.175411257,0.188185873,0.20040011,0.220552233,0.000269697,31
127,z,0.502630945,0.014517496,0.474173873,0.49285097,0.502558567,0.512444254,0.531009409,0.000203792,31
128,a,2.853772733,0.055576356,2.747440294,2.815741512,2.852602398,2.890865333,2.963806,0.000774936,32
129,v,-0.313510307,0.036414333,-0.385134795,-0.338005049,-0.313811692,-0.28931975,-0.240836691,0.000535828,32
130,t,0.178763718,0.01951158,0.137607986,0.166162798,0.179674677,0.192761575,0.21368635,0.000270381,32
131,z,0.498609282,0.01432955,0.470454792,0.489008522,0.49854702,0.508374407,0.526920472,0.000234899,32
132,a,2.809814718,0.054949776,2.701578262,2.773333494,2.809523898,2.845634748,2.919608313,0.000703175,33
133,v,-0.327179204,0.037607897,-0.40136104,-0.352200712,-0.326948852,-0.301587326,-0.253262198,0.000559734,33
134,t,0.177400596,0.018771119,0.137799306,0.165435209,0.178299881,0.19026205,0.211673093,0.000235943,33
135,z,0.498069871,0.014711581,0.469832327,0.488183836,0.497890693,0.507672573,0.527414121,0.000220456,33
136,a,2.729731618,0.053104613,2.630128176,2.692867745,2.728989753,2.764560172,2.837119946,0.000738651,34
137,v,-0.296959451,0.039107661,-0.373947458,-0.323495098,-0.297326608,-0.269916347,-0.222214802,0.000613028,34
138,t,0.184365427,0.017883343,0.146719885,0.172908994,0.185577669,0.196761339,0.216000632,0.000257043,34
139,z,0.48957053,0.01484779,0.460671259,0.479540882,0.489626574,0.499392358,0.518760301,0.000241402,34
140,a,2.681402481,0.05449186,2.577272621,2.643850735,2.680975147,2.718109761,2.789232735,0.000777972,35
141,v,-0.298108383,0.039230429,-0.375186285,-0.324331989,-0.29776033,-0.271724534,-0.221357251,0.000563315,35
142,t,0.209554623,0.019370471,0.169450309,0.196747815,0.210353732,0.223184343,0.245338329,0.000294108,35
143,z,0.486334453,0.014537781,0.458036721,0.476603102,0.486184245,0.496098173,0.51543455,0.000220129,35
144,a,2.69357805,0.054068264,2.59006265,2.656582876,2.692848937,2.728225078,2.802942719,0.000781582,36
145,v,-0.287981887,0.038775175,-0.364041789,-0.314052776,-0.287645658,-0.261435714,-0.213246113,0.000592831,36
146,t,0.198619313,0.019830083,0.157560916,0.185720613,0.199377542,0.212408951,0.235355147,0.000298799,36
147,z,0.481963794,0.01438288,0.45389103,0.472233716,0.48180593,0.491472209,0.510409458,0.000234408,36
148,a,2.730735073,0.055799452,2.625313022,2.692930559,2.729467577,2.767777122,2.844620065,0.000884932,37
149,v,-0.278482247,0.038187818,-0.352665338,-0.304569802,-0.279007215,-0.252601821,-0.204127877,0.000482391,37
150,t,0.19809972,0.020549144,0.154830231,0.185131953,0.198869771,0.212152755,0.236459806,0.000351646,37
151,z,0.478397059,0.014470156,0.450428528,0.468650692,0.47815281,0.488328062,0.506781217,0.000202117,37
152,a,2.722115702,0.054874518,2.617138279,2.684463722,2.721431359,2.758717501,2.832687012,0.000786279,38
153,v,-0.280129108,0.037957234,-0.354501382,-0.305961627,-0.280072053,-0.254731719,-0.206341377,0.000541656,38
154,t,0.20826607,0.020175981,0.166664344,0.195126483,0.208814619,0.221812596,0.246075244,0.00031504,38
155,z,0.478487933,0.01441222,0.4507192,0.468662845,0.478456932,0.488226498,0.506406642,0.000199254,38
156,a,2.712131407,0.055772609,2.607786958,2.673950517,2.711533684,2.749146602,2.824257913,0.000868895,39
157,v,-0.297623774,0.039027813,-0.374461772,-0.32430967,-0.29730358,-0.271008978,-0.222060189,0.00056736,39
