round user time_start time_end time_php time_js
1 usuario10 1462969079.31 1462969070.87 -8439.89992142 6909
1 usuario8 1462969079.89 1462969079.86 -30.5998325348 15659
1 usuario16 1462969079.9 1462969068.51 -11381.9000721 5203
1 usuario5 1462969080.03 1462969076.84 -3189.30006027 13423
1 usuario2 1462969079.98 1462969077.88 -2091.30001068 14658
1 usuario13 1462969079.59 1462969077.49 -2094.00010109 13329
1 usuario9 1462969079.32 1462969070.0 -9319.29993629 5945
1 usuario15 1462969079.56 1462969067.18 -12381.7999363 3477
1 usuario12 1462969079.99 1462969071.73 -8255.29980659 8314
1 usuario3 1462969079.74 1462969071.44 -8301.5999794 7565
1 usuario7 1462969079.97 1462969069.63 -10341.5000439 6154
1 usuario4 1462969079.26 1462969072.03 -7231.89997673 8683
1 usuario11 1462969080.12 1462969071.85 -8274.99985695 8140
1 usuario6 1462969079.47 1462969069.14 -10329.2000294 5206
1 usuario14 1462969079.27 1462969079.24 -26.2999534607 15140
1 usuario1 1462969079.42 1462969070.11 -9310.80007553 6525
2 usuario10 1462969100.24 1462969085.44 -14800.5001545 5014
2 usuario8 1462969100.48 1462969091.09 -9383.50009918 10130
2 usuario16 1462969100.88 1462969100.84 -32.5000286102 19883
2 usuario5 1462969100.62 1462969094.29 -6331.69984818 13135
2 usuario2 1462969100.32 1462969094.06 -6263.20004463 13023
2 usuario13 1462969100.25 1462969086.81 -13438.3997917 6162
2 usuario9 1462969101.19 1462969094.97 -6227.09989548 14583
2 usuario15 1462969100.19 1462969087.71 -12479.7999859 7056
2 usuario12 1462969100.83 1462969088.36 -12469.4001675 7310
2 usuario3 1462969100.82 1462969086.33 -14487.4000549 5525
2 usuario7 1462969101.12 1462969087.66 -13459.3000412 6620
2 usuario4 1462969100.84 1462969088.41 -12424.4000912 8094
2 usuario11 1462969100.85 1462969085.33 -15521.999836 4151
2 usuario6 1462969100.68 1462969085.19 -15482.1999073 4668
2 usuario14 1462969100.72 1462969091.36 -9358.29997063 11020
2 usuario1 1462969100.81 1462969089.39 -11419.200182 8843
3 usuario10 1462969125.57 1462969105.45 -20112.2999191 4142
3 usuario8 1462969126.05 1462969122.9 -3143.40019226 21359
3 usuario16 1462969125.99 1462969112.58 -13413.8000011 10617
3 usuario5 1462969126.25 1462969110.41 -15843.5001373 8656
