round user time_start time_end time_php time_js
1 usuario11 1462882992.23 1462882978.88 -13349.4000435 4718
1 usuario13 1462882992.31 1462882985.11 -7204.79989052 10888
1 usuario5 1462882992.24 1462882979.93 -12305.5999279 5287
1 usuario10 1462882992.63 1462882984.42 -8212.20016479 9895
1 usuario14 1462882992.29 1462882992.27 -20.4999446869 17647
1 usuario7 1462882992.61 1462882985.4 -7201.79986954 10937
1 usuario12 1462882991.7 1462882979.39 -12308.7999821 5031
1 usuario16 1462882992.49 1462882987.32 -5169.70014572 12630
1 usuario6 1462882992.4 1462882984.2 -8201.59983635 10206
1 usuario8 1462882992.01 1462882990.96 -1049.09992218 16652
1 usuario9 1462882992.57 1462882981.3 -11273.0000019 6837
1 usuario2 1462882992.06 1462882983.83 -8225.79979897 9199
1 usuario15 1462882992.33 1462882981.03 -11299.6001244 6530
1 usuario3 1462882992.26 1462882988.14 -4115.79990387 13724
1 usuario4 1462882992.32 1462882981.02 -11303.2999039 6505
1 usuario1 1462882992.45 1462882985.26 -7191.99991226 11321
2 usuario11 1462883015.2 1462883003.9 -11293.0998802 10612
2 usuario13 1462883015.12 1462882999.72 -15398.8997936 6361
2 usuario5 1462883015.72 1462883000.35 -15366.1999702 7072
2 usuario10 1462883015.13 1462883000.77 -14361.0999584 7085
2 usuario14 1462883015.61 1462883011.47 -4137.69984245 18106
2 usuario7 1462883015.41 1462883011.27 -4136.39998436 17615
2 usuario12 1462883015.24 1462882994.75 -20494.7998524 1944
2 usuario16 1462883015.68 1462883002.33 -13354.0999889 8775
2 usuario6 1462883015.06 1462883015.03 -22.7999687195 21584
2 usuario8 1462883015.04 1462882997.63 -17406.9001675 4578
2 usuario9 1462883015.76 1462883001.39 -14366.8999672 7773
2 usuario2 1462883014.77 1462882999.42 -15349.6999741 6314
2 usuario15 1462883014.9 1462882996.43 -18470.4999924 3059
2 usuario3 1462883015.34 1462883006.11 -9232.59997368 12809
2 usuario4 1462883015.35 1462882998.93 -16423.2001305 5552
2 usuario1 1462883015.63 1462882997.21 -18423.9001274 3719
3 usuario11 1462883036.79 1462883022.41 -14384.0000629 6159
3 usuario13 1462883035.84 1462883020.42 -15422.3999977 4257
3 usuario5 1462883036.8 1462883029.61 -7193.39990616 12843
3 usuario10 1462883036.7 1462883024.39 -12314.3999577 8208
3 usuario14 1462883036.27 1462883036.25 -20.7002162933 19601
3 usuario7 1462883035.93 1462883019.51 -16428.5001755 3047
3 usuario12 1462883036.43 1462883018.92 -17508.2998276 2633
3 usuario16 1462883035.87 1462883025.59 -10276.4000893 8857
3 usuario6 1462883036.26 1462883033.18 -3081.79998398 17070
3 usuario8 1462883036.38 1462883028.18 -8204.60009575 12089
3 usuario9 1462883036.28 1462883021.93 -14348.9999771 5091
3 usuario2 1462883036.23 1462883020.86 -15372.0998764 5034
3 usuario15 1462883035.86 1462883020.44 -15421.599865 4488
3 usuario3 1462883036.16 1462883028.98 -7181.90002441 12558
3 usuario4 1462883036.54 1462883018.05 -18485.2998257 1654
3 usuario1 1462883035.98 1462883031.83 -4148.09989929 15154
4 usuario11 1462883055.36 1462883043.05 -12317.0998096 5204
4 usuario13 1462883055.15 1462883041.81 -13336.1001015 4925
4 usuario5 1462883055.75 1462883041.39 -14365.2000427 3547
4 usuario10 1462883055.65 1462883044.37 -11282.5000286 6627
4 usuario14 1462883055.77 1462883054.71 -1061.1000061 17369
4 usuario7 1462883055.31 1462883054.24 -1067.19994545 17253
4 usuario12 1462883055.62 1462883039.22 -16401.0000229 1733
4 usuario16 1462883055.1 1462883048.91 -6185.69993973 11998
4 usuario6 1462883055.01 1462883046.79 -8219.50006485 9488
4 usuario8 1462883055.61 1462883040.24 -15375.399828 2811
4 usuario9 1462883055.75 1462883044.45 -11300.7998466 7127
4 usuario2 1462883055.43 1462883043.12 -12307.8999519 5846
4 usuario15 1462883055.74 1462883039.3 -16442.8999424 2396
4 usuario3 1462883055.35 1462883055.32 -24.7001647949 18116
4 usuario4 1462883055.02 1462883041.68 -13340.8000469 4101
4 usuario1 1462883055.57 1462883045.3 -10268.5000896 8275
5 usuario11 1462883071.7 1462883059.37 -12325.8001804 2960
5 usuario13 1462883071.68 1462883063.45 -8224.2000103 7257
5 usuario5 1462883071.83 1462883059.47 -12361.1001968 2665
5 usuario10 1462883070.92 1462883060.63 -10291.3999557 3929
5 usuario14 1462883071.19 1462883068.09 -3103.00016403 11280
5 usuario7 1462883071.23 1462883071.21 -19.5000171661 14849
5 usuario12 1462883071.54 1462883059.23 -12313.1999969 2555
5 usuario16 1462883070.89 1462883065.72 -5171.200037 9581
5 usuario6 1462883071.45 1462883067.33 -4115.00000954 11276
5 usuario8 1462883071.62 1462883061.36 -10266.7999268 4697
5 usuario9 1462883071.36 1462883059.05 -12308.6998463 2244
5 usuario2 1462883071.4 1462883061.15 -10252.7000904 4673
5 usuario15 1462883071.01 1462883059.61 -11402.1999836 2807
5 usuario3 1462883071.65 1462883060.38 -11270.1001167 3990
5 usuario4 1462883071.11 1462883059.82 -11290.4999256 3750
5 usuario1 1462883071.39 1462883066.22 -5164.00003433 9602
6 usuario11 1462883085.64 1462883081.51 -4133.30006599 8753
6 usuario13 1462883085.32 1462883078.12 -7203.89986038 5396
6 usuario5 1462883085.5 1462883076.26 -9241.89996719 3383
6 usuario10 1462883085.66 1462883076.42 -9244.19999123 4461
6 usuario14 1462883085.47 1462883075.22 -10252.0000935 2975
6 usuario7 1462883085.9 1462883074.6 -11299.4999886 2312
6 usuario12 1462883085.35 1462883075.09 -10262.9001141 2503
6 usuario16 1462883085.4 1462883081.26 -4142.60005951 9319
6 usuario6 1462883085.37 1462883076.15 -9222.49984741 3629
6 usuario8 1462883085.5 1462883082.41 -3093.40000153 9732
6 usuario9 1462883085.48 1462883075.24 -10243.5998917 2840
6 usuario2 1462883085.68 1462883076.44 -9237.90001869 3993
6 usuario15 1462883085.31 1462883074.95 -10364.8998737 2878
