,mean,std,2.5q,25q,50q,75q,97.5q,mc err,param,subject,round
603,0.31550586161219596,0.038713437637787944,0.22574170707305447,0.29327332805349543,0.31968691280262335,0.34305240596627334,0.37870527096511225,0.001973826269450437,t,s3m7_usuario10,80
604,0.29250864380735997,0.03499812782783727,0.21369574963316473,0.27137055191184173,0.29737527523365576,0.3176193733036788,0.3487200001326289,0.0015880582591294736,t,s3m7_usuario11,80
605,0.33501972290182996,0.052711182185128935,0.230778952321396,0.30118845848685577,0.3340249266101575,0.3697741095740373,0.4394252355802088,0.0024015361112558753,t,s3m7_usuario12,80
606,0.3467753701393942,0.04364021191614652,0.2566156804329109,0.3170629285720623,0.3482141303384231,0.3772432336391323,0.42435516222014985,0.0023422150680950976,t,s3m7_usuario13,80
607,0.3426704041360872,0.04658068591070265,0.24958683284705857,0.3108938016030063,0.3421712966390666,0.37437949246421004,0.43273864922205524,0.0022074117711823023,t,s3m7_usuario14,80
608,0.34596072488779483,0.05255152950870862,0.2460877374660163,0.3104774833458106,0.3435932547309066,0.3803117760516548,0.4545216047031431,0.0025894409360926033,t,s3m7_usuario15,80
609,0.3473797150460374,0.045602854189674365,0.25994988542423997,0.3176520550795384,0.3458777035907391,0.3768196755426896,0.44210768698662284,0.0022299816648877323,t,s3m7_usuario16,80
610,0.3326566789748266,0.0454067231362487,0.24042771436238317,0.3021336325430882,0.3344371574117806,0.3620047075253634,0.42062474377089903,0.0022021762314414486,t,s3m7_usuario17,80
611,0.36392327490033083,0.033653062683216294,0.2886057080110679,0.34248625482212774,0.3696614050075077,0.39190331543717694,0.4093885330400179,0.002467350609207975,t,s3m7_usuario18,80
612,0.34206321475019363,0.059603123173534056,0.23537552165963282,0.3024831501685876,0.3391198255342851,0.3752048241056754,0.47832287238606364,0.002442091235784775,t,s3m7_usuario2,80
613,0.3255809051161075,0.025396513638806524,0.26568924542641736,0.31085176756102656,0.32951672935221804,0.3451315009139887,0.361507526841724,0.0017390211493298817,t,s3m7_usuario3,80
614,0.36441626943790356,0.03254224429168719,0.2919918191116889,0.341730468197794,0.37030103292149674,0.39067698890550073,0.4111422542858335,0.00242929616113538,t,s3m7_usuario4,80
615,0.32331237435702614,0.03806546151415304,0.24068088553068068,0.2991247345211532,0.32679297223585585,0.3508479125291044,0.38903386232597864,0.002034612838424642,t,s3m7_usuario5,80
616,0.2578505398413305,0.021016600437758007,0.20520378083572938,0.24706701594936115,0.26196804761575887,0.2733084154019571,0.2866969007414047,0.0012080129976848584,t,s3m7_usuario6,80
617,0.36145554969867705,0.03692712982836454,0.28393951994916666,0.3360187735173914,0.3638729394402158,0.3911130421256874,0.4195994616322021,0.0024003586360606876,t,s3m7_usuario7,80
618,0.32580157739402826,0.04208258282721066,0.23074834921527432,0.29990504472696733,0.3282214458354209,0.35501781108278696,0.39912800112187413,0.002115784500773397,t,s3m7_usuario8,80
619,0.3260255266665602,0.03836992483521148,0.24258203273192475,0.3011826708334389,0.33040933214214663,0.35376210623540627,0.3887672000566607,0.002025201675281376,t,s3m7_usuario9,80
620,0.6278721749251467,0.04400216437577446,0.5342239631319614,0.5971317240510878,0.6358359568413552,0.6622955738720206,0.69973192318706,0.004320896393684158,z,,80
621,0.04675471798722276,0.031989864094719205,0.002429271018734294,0.023114306871745566,0.04172180753517862,0.06421797911950722,0.12331066100331083,0.002733023625293597,z_std,,80
622,0.6262679812997628,0.044689670794459305,0.5329233907568637,0.5969675606451009,0.6316846465853952,0.660535697107395,0.701721991499194,0.004237381584936874,z,s3m7_usuario1,80
623,0.6309534425079093,0.04711863690804965,0.5347493943478405,0.5971280036860942,0.6361612931525561,0.6668119265049797,0.7120075453148135,0.004495184935005349,z,s3m7_usuario10,80
624,0.6292554303636,0.046033815414144766,0.5336273437405239,0.5972051102221504,0.6343521588013041,0.6640705350655213,0.7068409458680934,0.004384309097386173,z,s3m7_usuario11,80
625,0.6276283086454313,0.045746749516242496,0.5342014242455213,0.5971005877824098,0.6337139530695849,0.6619613057332914,0.7062961060892448,0.00433934951854991,z,s3m7_usuario12,80
626,0.6277731960145438,0.04615614260920823,0.5334582075473576,0.5969603056499638,0.6330007869170404,0.6628142664007838,0.706776183261746,0.00434365994802102,z,s3m7_usuario13,80
627,0.627402147940176,0.04535245446828208,0.5334718749137648,0.597205662250104,0.6310977424038423,0.6622145020338394,0.7028688089153148,0.004285558997842357,z,s3m7_usuario14,80
628,0.6271673505841491,0.045007664205365755,0.5324637261164158,0.5972738097956412,0.6325581717955242,0.6612612704701183,0.703479610767554,0.004266196057747724,z,s3m7_usuario15,80
629,0.6269959457071518,0.04559153195225535,0.5323299474177672,0.5967996127561999,0.6308341824182908,0.6621778547667544,0.7045095453945762,0.004300513496777154,z,s3m7_usuario16,80
630,0.6276204368799727,0.0461070133744333,0.5330739399044121,0.5970409660304371,0.6326649712204879,0.662307263181888,0.7052693188951561,0.004347702063182466,z,s3m7_usuario17,80
631,0.6287218773836807,0.04640655960978318,0.5342605045365998,0.5969412146571759,0.6330052411368796,0.6637725500276068,0.7090242804442008,0.00440473772096907,z,s3m7_usuario18,80
632,0.6258359959642505,0.04501909909575358,0.5322949788352275,0.5969264691729476,0.6301414904336091,0.6604694982169332,0.7034532481396624,0.004223608114850079,z,s3m7_usuario2,80
633,0.6292125066103342,0.04647330149692467,0.5345309450753841,0.5971118065678295,0.6338352193647977,0.6649748502295612,0.7086640147808829,0.00440185597951783,z,s3m7_usuario3,80
634,0.6285864256997828,0.04582277332857869,0.5328372665299088,0.5971202716451016,0.6333213983388416,0.663836630201423,0.70369324591395,0.004361689643603192,z,s3m7_usuario4,80
635,0.6274927491123178,0.04535950194621053,0.531830237519127,0.5972022447435337,0.6322181833205736,0.6622671080421902,0.7051240605901603,0.004313693158296531,z,s3m7_usuario5,80
636,0.6287107991986769,0.046108290303503115,0.5337959545930021,0.596944135508024,0.6346507555676583,0.6644332806456608,0.706692424695009,0.004376012871890562,z,s3m7_usuario6,80
637,0.6279794617258516,0.0456890292992781,0.5342446060251843,0.5971580178216565,0.6329652845434208,0.6626933456649574,0.7050648782775202,0.004319549562269876,z,s3m7_usuario7,80
638,0.6273641890344104,0.04540256014904941,0.5330556366117118,0.5970268055875987,0.6323320030484768,0.6618809481140577,0.70520609122074,0.004297292832040673,z,s3m7_usuario8,80
