,mean,std,2.5q,25q,50q,75q,97.5q,mc err,param,subject,round
1488,0.4773291356540587,0.017244507789461138,0.4410527135568706,0.46730184269264974,0.47917885228371665,0.4881930832804071,0.5082819388930294,0.0010942437839244062,z,s12n11_usuario15,20
1489,0.47656553359307685,0.016403040771479183,0.4408266015441398,0.46701301474449897,0.47768763454674135,0.48727786620858576,0.5062824030654764,0.0010471999255512636,z,s12n11_usuario16,20
1490,0.4782450812092683,0.016719106530650608,0.4450476377289873,0.4676433834342196,0.4792424723112478,0.4883546497579206,0.5078938441044488,0.0010453963069223609,z,s12n11_usuario17,20
1491,0.4764069109106399,0.016268492604326956,0.44154643913845426,0.4673786321274666,0.4768401432069068,0.486660761485438,0.5075635559237457,0.001045151457516155,z,s12n11_usuario18,20
1492,0.47718696095486446,0.017671745711855653,0.44198277218774573,0.46738746279086174,0.4788483130374473,0.4877996748533213,0.5064084292079007,0.0010992219617198635,z,s12n11_usuario2,20
1493,0.479013115939718,0.01682209192340661,0.4462068216025744,0.4693216670394903,0.48006014086137316,0.4886182228882803,0.5142200819211131,0.0011065737962787248,z,s12n11_usuario3,20
1494,0.47908639332780345,0.016733612501789355,0.44765759498120955,0.4686384703304307,0.4796715840588143,0.48883295864528753,0.5102113564225037,0.0010497678744175727,z,s12n11_usuario4,20
1495,0.47790535757502445,0.017289359920535836,0.44589492647535206,0.4678694490008805,0.4784368264414105,0.4884164100846698,0.5102340821100111,0.0010610752857481852,z,s12n11_usuario5,20
1496,0.47512392693151156,0.016784435628234697,0.43731103079404515,0.46584321009945273,0.47727864306803697,0.48557052377397286,0.5041363926402025,0.0011731818173273726,z,s12n11_usuario6,20
1497,0.47735294564680475,0.016917953579207584,0.4437247396587733,0.46755791668412117,0.4789221382161857,0.48831841746760263,0.5086125477235534,0.001129230760546135,z,s12n11_usuario7,20
1498,0.47521987680799266,0.01763487701320542,0.43842492659511356,0.46528448633584396,0.4774865883649332,0.48650682672012324,0.5065882807400479,0.0012717084054467088,z,s12n11_usuario8,20
1499,0.4762409766153996,0.01604361985068645,0.44178537368459914,0.46687522301870266,0.477903744519377,0.4864381600123473,0.5055230468950422,0.0010127020431879344,z,s12n11_usuario9,20
1500,0.4758032339230048,0.01654500218063223,0.4402124261285998,0.4659702829756701,0.47731847870691235,0.48617222220877077,0.5077850129073544,0.0011097375959292079,z,s13n12_usuario1,20
1501,0.477155888066574,0.016553664551055107,0.4432779243649232,0.46730256861059416,0.47886294432519527,0.48735912182782104,0.5082552784761417,0.0010689549661814257,z,s13n12_usuario10,20
1502,0.47654104007475234,0.016717553914345734,0.439785378300038,0.46699144443018437,0.47774943093574296,0.48752303939968594,0.5077828469214343,0.0011712007055312435,z,s13n12_usuario11,20
1503,0.47635639412181124,0.017453389445600116,0.44186492364008567,0.4658751798035272,0.47742065195378486,0.4873610432759821,0.5093359975013888,0.0011192106713453708,z,s13n12_usuario12,20
1504,0.4787132348570393,0.01663943487334934,0.44538910347294075,0.46919907242358905,0.4795641773334571,0.48790776608588093,0.5106406857780806,0.00110458235538396,z,s13n12_usuario13,20
1505,0.47644245076954117,0.016860152161176173,0.440015107070971,0.4676900931737992,0.47773296744701477,0.4862268003740969,0.509481808000005,0.000977927127428569,z,s13n12_usuario14,20
