,mean,std,2.5q,25q,50q,75q,97.5q,mc err,param,subject,round
2103,0.4622422435044757,0.03508446787521316,0.3994454901246702,0.42752101729598746,0.46944953596103633,0.4915296933618237,0.5141729065924441,0.0031440505722663535,z,s10n5_usuario2,45
2104,0.4617551682663089,0.03447018701893894,0.4008948326221173,0.42764865722597284,0.46962883214411677,0.49102805456855575,0.5115233861963104,0.003119813185083909,z,s10n5_usuario3,45
2105,0.46243792145382917,0.0351811454051192,0.39980900307232775,0.4305894113818938,0.4710580572105078,0.49153551200382023,0.5133091522694794,0.003161060138394988,z,s10n5_usuario4,45
2106,0.45991793787883506,0.03474428516794948,0.39103711588482293,0.4266592453648094,0.4671069939936344,0.49063650170361833,0.5053562728371297,0.0031734308614444116,z,s10n5_usuario5,45
2107,0.462056943975742,0.035179148641866075,0.39940882791365534,0.4281418708296141,0.4701174831215736,0.491134395047367,0.5121348162287259,0.003192010968196642,z,s10n5_usuario6,45
2108,0.46069250435595144,0.0358384173547149,0.3951315854247652,0.4239239577551658,0.46957002036154144,0.49101845133214606,0.5119627231112847,0.003281135210466778,z,s10n5_usuario7,45
2109,0.4620740196631291,0.03549243866228902,0.39548265447813336,0.42932235955184817,0.4705403773190945,0.4920036317904855,0.5144489602460383,0.00322976646833754,z,s10n5_usuario8,45
2110,0.46220532578118145,0.03475542549282616,0.3994133533928539,0.43007567444138234,0.46853225733480264,0.49144131402754804,0.5146948706390361,0.0031273302452758944,z,s4m8_usuario1,45
2111,0.46134410652530417,0.035074607406547983,0.398833340216747,0.428292140375869,0.4672413987784245,0.49113689819068534,0.5136212292464268,0.0031846924970874027,z,s4m8_usuario10,45
2112,0.46211144986907493,0.03479700443120476,0.3966390346002811,0.42973444135825556,0.4677784237392228,0.49110906597895615,0.5137298036741903,0.0031268582298520807,z,s4m8_usuario11,45
2113,0.4607229222030253,0.03508184060347889,0.3954467814885577,0.42648545386713566,0.4675885371027429,0.49066861841848564,0.5111308200242964,0.0031873132571491264,z,s4m8_usuario12,45
2114,0.46227609886241167,0.03607529659101253,0.40044110292232465,0.4292986890075102,0.46881741902935775,0.49183121743543207,0.5136643654305748,0.0032298782618223193,z,s4m8_usuario13,45
2115,0.46073289511498666,0.03527326574736152,0.3938807281411979,0.4266904952021996,0.46778180759192356,0.49081321297305275,0.5096093116063678,0.0032057873383477117,z,s4m8_usuario14,45
