,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,3.9094988976539784,0.5554403725434586,3.0335759762166266,3.511721942500101,3.83566594764681,4.223400122407198,5.212904204313614,0.022893880811986227
v,1.0199501206063653,0.14502477457970148,0.7343805774322243,0.9224534128581695,1.020349660835285,1.1167542537585777,1.3143390795663352,0.004198523573786724
t,0.23933870883587047,0.058602245836668336,0.11519488989577006,0.19905015040429305,0.24605957106077092,0.28318226388205964,0.33771202951750934,0.0018820393047979927
z,0.642365470106818,0.06000851091229886,0.5222484061099483,0.6012949627265786,0.6427687853446368,0.6842237856587636,0.7598735831862337,0.00272860842442418
