,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,3.6672299640814057,0.3869232124702947,2.969226006470554,3.3954395335149696,3.641772997913302,3.9110134313066682,4.507039326899256,0.006727294546032521
v,-0.25003225315921457,0.17052261637040317,-0.5952441602120834,-0.3649546515158667,-0.2485489330204146,-0.13453758450403974,0.07460645401453103,0.0025428628022401657
t,0.28334137710668944,0.10761402097225756,0.09189484861304113,0.20261452037300512,0.2787985006070125,0.3571576912080981,0.5045740581255898,0.0016381603421850121
z,0.5956193431422321,0.07189662016205194,0.453117837147875,0.5456155094408947,0.5995275324648579,0.6470773224598516,0.7262117891454223,0.0013328051173005881
