,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.3769589294805034,0.37288013382091767,1.8177842702353453,2.1047003028532196,2.3142597216048593,2.5925501540677867,3.2503167533886486,0.01924170391400896
v,1.8313987246672434,0.2325264158729602,1.369326812829479,1.675134330385056,1.827840380599227,1.9869776395972516,2.2913048461393752,0.006473323617837498
t,0.4265952154280908,0.019079197492384924,0.3824591613882499,0.4168724924512682,0.42964673696963157,0.4399533888124048,0.454385063578824,0.0007383145590650161
z,0.6846614396267542,0.05528257194267038,0.5727639687065013,0.6486935199272926,0.6863636374043378,0.7224154408095786,0.7867009213662813,0.0027583798537571804
