,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,6.045406474473522,0.3840643548678695,5.338080995880398,5.779980731530921,6.03015989824022,6.290552316873892,6.854601812169635,0.007343751068350312
v,-0.4310667846213704,0.059168922037683175,-0.5507265028344153,-0.4693715274591132,-0.430230053512602,-0.39114779444608005,-0.3162298971127815,0.001350851855046324
t,0.3255976025535887,0.1289118260269653,0.10906179747864177,0.22758565958187038,0.3174143246796487,0.41075414959776674,0.5994225944120998,0.0024728545541304646
z,0.4910407810203354,0.04218437805172985,0.41097565619839693,0.4618182981266287,0.4908984020209974,0.5192805631842742,0.5748373579023169,0.0009578290971802095
