,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.702213532317678,0.3003173058931772,2.1590146830505423,2.490110011937401,2.6829048686500596,2.895246630049633,3.331811387260162,0.006015667364013183
v,0.23744273311379735,0.22338358573164682,-0.19537462723874727,0.08650241434242992,0.23572360445931972,0.38607600149815813,0.6947099862707089,0.004535848821531003
t,0.36687366828171586,0.11616872629370387,0.1394391849347225,0.2839210346589026,0.3685891755517572,0.45051500060690014,0.5767554995499218,0.002530577300943267
z,0.4505223654864989,0.07089853269415086,0.31565427031369075,0.40086974047945445,0.44894588632739907,0.4996279323914411,0.5922587126418221,0.0013190358121635871
