,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,4.163181643931352,0.4285157399913268,3.3806770331294818,3.8563872164721946,4.146400731980409,4.438493108165117,5.057399103222664,0.00823675551472408
v,-0.16666028395696247,0.13239896871780105,-0.4313043132734861,-0.2546918138435271,-0.1648865887790989,-0.07453706418198214,0.0871814835805263,0.002586955540527076
t,0.7273869677515742,0.32966919082739543,0.1957510568752051,0.47532522609636435,0.6926811670245772,0.9419912916457319,1.4331092747104321,0.006359458081733918
z,0.5402208259481364,0.07057958151796008,0.40155131229527863,0.4937208023112009,0.5405995264229492,0.5893230995302775,0.6753035920473285,0.0013431149601147885
