,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,3.0405024329477897,0.47841140677237753,2.283751897175243,2.7055633789049094,2.9745490997420685,3.2973472355989473,4.175243048845934,0.02002920307129185
v,1.0615006368823456,0.1959043634851349,0.6792653611815913,0.9264751803116318,1.0636953970290337,1.1953297996053038,1.4386023850836631,0.004736013388975497
t,0.3503599313275215,0.03431831270067513,0.26253407409985813,0.33328826585284554,0.3563321135274452,0.374829089659752,0.39754088811322885,0.0011220004506590883
z,0.7287709370788628,0.053094342046652955,0.6135288425419979,0.6961009408515315,0.7315656513683801,0.7667487887882081,0.8218570588147375,0.002408644730102192
