,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,3.2837485739183414,0.5224885286649688,2.4076057523557197,2.916449784271162,3.226518093279283,3.605224364892093,4.418270649248948,0.011788105845771914
v,0.7800586878325099,0.2557086338855397,0.28302324508438126,0.6057962950555945,0.776890431682695,0.9484115994347212,1.304590162799257,0.005594190247498814
t,0.5922666205521413,0.20268476753488263,0.2082957861990613,0.4447049466734719,0.5930351741281201,0.7431185195779785,0.9629927137051597,0.004425314999106785
z,0.472154270618718,0.08802476464261497,0.3028427600426023,0.4123020688812453,0.46956636999152446,0.5323151531963959,0.6433698247260898,0.00205101680341274
