,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.594163493085409,0.3291549651820981,2.025925833421976,2.3588326125662467,2.5661692524964765,2.8091025682592754,3.29486940671963,0.005575088744317702
v,0.19016344284649436,0.26308201044959456,-0.3179334256537043,0.011411587229356313,0.18532292134154194,0.3698048563991291,0.7056597344388618,0.005037096825708089
t,0.40643812842698357,0.11854693019788917,0.15944355723533937,0.32651328553571074,0.4148413847053932,0.4947301796115645,0.6073302504484918,0.0022861617925231306
z,0.4306851556161746,0.07957682460208718,0.2793148204622104,0.37595114528222356,0.4304615480637266,0.485884988067253,0.5894072077052226,0.001736404275082932
