,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,3.6664842128221022,0.5505772397820101,2.754959791786789,3.278561902764383,3.615068299240587,4.005300450839357,4.898526231598543,0.009681638533714444
v,-0.398767961218981,0.2239767755439906,-0.8348424890851258,-0.5496505666515772,-0.40039379937075864,-0.24140347575872279,0.033406079597976035,0.0045735733027566
t,0.4800985977697932,0.20959551301534549,0.1387892133469777,0.3253697559274888,0.4550282013972772,0.6184892977016283,0.9439015555718129,0.003730722273293397
z,0.48984822649208565,0.09194410861489978,0.31355164733598484,0.4263037982651546,0.4893053933115863,0.5537949955863208,0.6705805382662325,0.0018668950672981945
