,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,2.605894939183504,0.19695719627314265,2.2443459581840637,2.470523441098004,2.599494053927254,2.7283601209086474,3.0192575808387185,0.0036423870455728354
v,-0.1552328599723799,0.15821297815535898,-0.46326551969093965,-0.26332778431443105,-0.156948707396942,-0.04827426210499269,0.163848853628625,0.0030396921705608555
t,0.2992197599951289,0.07021754508721459,0.14683015915859804,0.2527392100999619,0.30520501421993856,0.351732052461446,0.4151467365389125,0.0014116004435249263
z,0.5739604935590388,0.053250195490627227,0.46665048157954114,0.5383216546750422,0.5746106475073474,0.6120837014086489,0.6737802949093357,0.0011616735455114385
