,a,t,v,z_trans
0,3.6902354236182937,0.11019018258164262,0.031634498768950386,0.32332206469784674
1,3.672878588935586,0.1072472689590655,-0.0420028693907597,0.1351358658839528
2,3.563752724073493,0.1544638658865211,0.09464146891078079,0.16285153576962497
3,3.4707350148921634,0.19690498680868324,-0.0850609139321914,0.2976066251075147
4,3.6114920031254187,0.14742826638110088,0.06274438689278045,0.21252063574951263
5,3.561379871477514,0.15073595400620798,0.009912918933993722,0.17821469630338588
6,3.5964658322925875,0.16333515626097128,-0.001629245480917755,0.20425795177202144
7,3.6118885132787355,0.1257849979782142,-0.005775824162343582,0.3494425471745371
8,3.49704754341499,0.17849877087627491,0.0024744122177159655,0.19296348161920035
9,3.52051272581781,0.18504205913956634,-0.005776963430213045,0.14274385792763133
10,3.5567094566278836,0.11356835375204877,0.008770280039744727,0.06261714994223154
11,3.538100631174071,0.1944627516635128,0.08029086452015122,0.12634824890533386
12,3.687336368429669,0.19798440406923862,0.05283221955381759,-0.06414640617817588
13,3.6712292397431985,0.12956483745077635,0.13532785002300685,-0.10234938954147461
14,3.6598470207667604,0.09097887588026701,0.12135729257580918,-0.07665211429503105
15,3.3967618684123,0.17112026610255476,0.09900898084954057,-0.06730707990295512
16,3.5927917876840034,0.15528752125404524,0.07960823196900979,-0.08858589035162173
17,3.4932244792752174,0.15237170644170545,0.11943115541875435,0.09265857207283845
18,3.330232797599182,0.22331122220624797,0.06827466942730281,-0.0782406570881248
19,3.5365655671862846,0.22241037543821324,0.08210684148488477,0.15784455921824936
20,3.543447683361877,0.16685851617795883,0.005411966623933923,0.1567289498262485
21,3.576871197109557,0.18767263846505505,-0.08880878075548493,0.2727370709893808
22,3.5342271786222885,0.18516190131624127,-0.021715874803456006,0.08970290009512819
23,3.413733885874144,0.17554182398730706,0.01875322800275908,0.27495225578117655
24,3.5196252924647102,0.2060197225341719,0.016660646196429818,0.08829193025362642
25,3.664680377580622,0.1459234849841524,0.024082403233393168,0.019843829367800866
