,mean,std,2.5q,25q,50q,75q,97.5q,mc err
a,3.300203704621198,0.555943518476449,2.375081338202944,2.899057527945941,3.247266284407989,3.6410629167797204,4.543556461939585,0.009176247554327844
v,-0.1980246590144845,0.29510268953922614,-0.7921915910152655,-0.39348212954104067,-0.19477708526540205,0.0006583876645513964,0.37809454673778387,0.0044438934614830315
t,0.4440996904205116,0.20035964800902334,0.12505820799821482,0.2918555135411208,0.41870231896628607,0.5710719551253045,0.8872992038546524,0.0038314515761360647
z,0.47501465695801964,0.09961916923966306,0.2865855326376887,0.40577906001527886,0.47252962702609785,0.5459019875138723,0.6703342628638899,0.0016668848684303756
