,Unnamed: 0,Unnamed: 0.1,user,type,score,type_adj,score_adj,a,v,t,z,y,y_adj,a10,v10,t10,z10,a20,v20,t20,z20,a30,v30,t30,z30,a40,v40,t40,z40,a50,v50,t50,z50,a60,v60,t60,z60,a70,v70,t70,z70,a80,v80,t80,z80,a90,v90,t90,z90,a100,v100,t100,z100,a_st10,v_st10,t_st10,z_st10,a_st20,v_st20,t_st20,z_st20,a_st30,v_st30,t_st30,z_st30,a_st40,v_st40,t_st40,z_st40,a_st50,v_st50,t_st50,z_st50,a_st60,v_st60,t_st60,z_st60,a_st70,v_st70,t_st70,z_st70,a_st80,v_st80,t_st80,z_st80,a_st90,v_st90,t_st90,z_st90,a_st100,v_st100,t_st100,z_st100
0,0,0,s3m7_usuario9,Pro-social,64.0,Pro-self,-28.0,3.255287052173694,0.1045491272733464,0.34974022755208256,0.7616250145506652,1,0,4.843350339467171,0.039157800849623836,0.5036885630968576,0.5060235488986391,3.1105566453066507,0.15635372948156342,0.7066588263197472,0.4458774454101265,2.6983290909606303,-0.2652758183689649,0.8902271683003248,0.5034066145886213,2.9143666919423707,0.817469172106795,0.8224679227158902,0.4672026452181628,3.3862378779702067,0.9907526569465926,0.45525121129995005,0.4790770690120905,2.1917945677784885,2.1356910254993604,0.7634239981972357,0.5117569104446514,2.2605461057774647,2.7852450819162917,0.4196727021005352,0.4787767647357175,2.0498496332473737,3.2118829108406652,0.32710669205081544,0.4760793741238352,1.9552322965011064,1.922195163722786,0.3050610773386809,0.5617948256234453,1.7516624516329875,3.5529632139469967,0.3690947766502859,0.5059260494021465,0.5919312986433626,0.14309633879520786,0.24587432926221967,0.08861579452849994,0.4671997289908345,0.2455596346455563,0.31155577820178615,0.0866587573773487,0.4725296310006612,0.3027421883317125,0.3652183479037468,0.09005782134906327,0.5863936560852511,0.33904104183486977,0.3200157722332169,0.09772420075087614,0.6740214886638854,0.3309343020449921,0.16823046620776863,0.09617238916047402,0.7134840830484911,0.6968991152645624,0.15575510835987372,0.11743434352470149,0.6834164360265194,0.8253020332747785,0.08634390161049998,0.10740947824002464,0.6536952032413185,0.9290332567530389,0.0654635093357651,0.10581751881170776,0.4717318793708679,0.628806766656872,0.06328519146256341,0.09944884234813853,0.5724298199343051,1.0402177985392296,0.05758094585279293,0.1069022359783586
1,1,1,s3m7_usuario18,Pro-social,78.0,Pro-social,32.0,2.7099062507229785,0.17538169325950762,0.3778298560518069,0.8308820080024045,1,1,2.9426321031397213,0.4160534795781472,0.8263583028425809,0.5146790474132373,2.954516952294482,0.2222228807590253,0.5859258589887428,0.5117605967824987,1.6729546248489007,-0.4509782655881082,1.340504441521114,0.6161914459397713,2.501893955697412,1.6542221647015607,0.450984336270352,0.49756309325946296,1.9570356295505904,3.407769555283608,0.402566218962524,0.4942679156475602,1.6394952696427738,3.0984924541605223,0.3168922259997129,0.5315313705023577,1.533056837834645,3.8184925147259134,0.34547241056007105,0.5344915484256213,1.968578019507364,2.6539096412423504,0.2913118060558971,0.5082328041800982,1.0179039584631653,5.233143762953966,0.3847190089711183,0.5812650972671379,1.9132069889089385,2.2533311537765623,0.32769413446094475,0.5315058151062002,0.49534668606421567,0.27828059662433025,0.36014086455288424,0.09703403157744324,0.4374995594369743,0.2599667774511298,0.2212326828716689,0.09056803759291672,0.3671360101651812,0.5315530784738495,0.21405149813297136,0.0904653831217311,0.6329905026443844,0.5238612837466471,0.12522855763720167,0.10014142809449642,0.6297613694360044,0.9884611801191815,0.06896148918901746,0.11338469213776739,0.5267763529520799,0.9720685278537613,0.05552524409456753,0.1071449346475866,0.5278506725660563,1.1860630421690859,0.04660864163382838,0.11179631526308362,0.5513253788180171,0.7943207100341556,0.0584927333149989,0.10237555954287667,0.4250361095082264,1.6795042411092012,0.02782493586648254,0.11165483424147431,0.5530358081683396,0.738833332582067,0.07282260376077675,0.10652401812831086
2,2,2,s3m7_usuario7,Pro-social,100.0,Pro-social,4.0,2.047376382103706,2.015130010614038,0.3540750909986086,0.7258272442079761,1,1,2.546583725198661,1.272974632126369,0.2885826794747671,0.5256834913274893,1.922611963964045,3.6660915806818206,0.29034587706628723,0.4881612091854581,1.9159840529764305,2.3360269428564,0.26870919596738657,0.527139807640592,1.5348009099719908,4.148587932626324,0.3877949884751759,0.5251206383254687,1.914019475147788,4.027804764630197,0.361604176049233,0.4926893321299378,1.2810951415366267,6.386260180159183,0.4693520190265273,0.5302919746460558,1.5848896950893363,3.1045193826930584,0.3397495378958821,0.5512396359390709,1.8631687084469148,4.400838065107235,0.320999083053482,0.4860868556979803,1.4166199546874445,5.1300653308908775,0.3742202725591912,0.5231651559347157,1.3687685578715385,5.823007204664369,0.3331508047864522,0.5062743989605777,0.5392666861842864,0.4425215718828654,0.09091050615262572,0.0954331710477624,0.6429204938518256,1.0328132996440014,0.05198523209314246,0.10582013541351011,0.5027051457979196,0.7398060505717043,0.05953771344935408,0.10795420898842743,0.5630681229339216,1.2405039768716386,0.048979540736340456,0.11441349154076697,0.6279214314147179,1.1170487681236578,0.05582633749321353,0.1072943636619694,0.4751266244815894,1.762694962708081,0.029122670621209254,0.11026762737404709,0.5096406088225002,0.9952970262038715,0.05637492681755836,0.11088730728295323,0.6577857802751211,1.2611370687752932,0.04894824034241048,0.10860132964266993,0.5811101230795553,1.5188014898322943,0.04233410537751218,0.11408980072226664,0.5603740155905479,1.6273780603552812,0.031661315832665037,0.11090391489973178
3,3,3,s3m7_usuario10,Pro-social,100.0,Pro-social,4.0,4.169978764147274,0.4616989451177703,0.3462336817092986,0.8853067649773796,1,1,5.147776806250271,0.4268830085683183,0.473328294793944,0.4950869679122804,2.0622449399196983,2.0066340956581907,0.3106676813485241,0.529023193881077,2.2901484986144194,0.9216666363393088,0.3491945645432306,0.6750402005160849,1.9189570070476225,1.7823254291024493,0.3359252047344892,0.5763889004496741,1.7749641500884867,3.104611302740864,0.3512802669546339,0.5133768592258752,1.4634088543380968,5.567364619335589,0.3429271836181712,0.5076704368313083,1.7885222952730844,3.0602652700830126,0.28725195452760216,0.5203002735310611,2.141909959329348,0.9792003126655944,0.3106278691380364,0.6695454781686065,2.015524895699285,1.1978684097133452,0.3028554419686489,0.6566708931600949,1.9706315125473448,1.3653577040594662,0.28434828047025,0.6365646279697189,0.7244820923282687,0.1561269736067556,0.2310225969956276,0.08553720135657328,0.5473135023769317,0.6638131998568333,0.07559288983068073,0.1045471624055466,0.42966587803291784,0.42464916858378887,0.08455822686977185,0.09369285675457655,0.4629203317961441,0.6289391252358075,0.0734520993500548,0.10468523536855814,0.5670873451017437,0.9491027288104349,0.05730635071306808,0.10473384882162451,0.6116725263393538,1.5821400167993165,0.037679119623389205,0.10533122584752265,0.5029696287876326,0.9285240163831715,0.051885822353771344,0.10523281428966717,0.421413326293301,0.4562074589829162,0.07737222250946661,0.09384745994771672,0.41336002179720793,0.5108647210758905,0.0660107786559741,0.09424660239110726,0.41876461330880443,0.5380209046809217,0.06305824196862587,0.09684839977918755
4,4,4,s3m7_usuario13,Pro-social,98.0,Pro-social,0.0,2.9656827698594963,0.8416673500674737,0.38072362428990575,0.7752956175755088,1,1,3.5187909670381923,0.5893986495629943,0.6408429790822975,0.4728963047542041,2.3078977420056717,1.5267808433291596,0.33471674096436915,0.5317856688083141,2.2527000492456764,1.4892484923181482,0.379146904887656,0.5650372754366652,2.575788989450865,1.333578651637878,0.3244559848581491,0.5082794460147604,2.599750233776518,1.4623701734452208,0.3358617946161101,0.492014114317023,1.673210380912583,1.8707894264499352,0.3538225025419077,0.6182674071069301,2.1366156618424226,2.124943778258644,0.3039373716079944,0.5076974997536073,1.8821215794752204,2.0747126810136147,0.3091425945327298,0.5601115085531359,1.9296306433742558,3.711123778034963,0.3575896669217435,0.4835778317305946,1.9479381829398563,2.8313207388593966,0.3807990305183397,0.5089703027679585,0.5622705932526306,0.2517976803553623,0.2881496875542026,0.09004094425068243,0.5326598802900304,0.5196751955073743,0.09122904592980997,0.09981184712581088,0.5030797111530636,0.5130233146203189,0.09063130212998571,0.10093764879415623,0.5582777953591428,0.4376124904740638,0.0993769760170673,0.0980980867112391,0.6002636831844184,0.4822547663137478,0.1001916283752488,0.09815609943293253,0.43276993574098704,0.7148842390339596,0.06749235373455664,0.10978247613600836,0.5515353090959987,0.6582161508563079,0.07247261783516548,0.10124134161067173,0.4672492949026569,0.6808181499026863,0.0630765296733309,0.10116955166573714,0.6371987267873807,1.0778080539370467,0.05949610551725438,0.10768040735988356,0.6039694500170678,0.850282695313829,0.07188741196744868,0.10707253825376664
5,5,5,s3m7_usuario5,Pro-social,100.0,Pro-social,8.0,2.6660732549813715,1.1583330665257758,0.3595418096146246,0.7382106337438149,1,1,3.0417730309897615,1.0808784883718432,0.5691445672233523,0.5111074046818961,2.680242740134659,1.5608123211558615,0.32393024985210445,0.4812018112004692,2.0242241939692383,2.283790509192303,0.3929756891245782,0.5253109441725577,2.343626899736961,1.2284714409548605,0.31356875071473306,0.5690402073692041,2.1753708567246544,2.01551483757727,0.3259548844585711,0.5038810730329338,1.738603383838229,3.5816500383041725,0.3248918402525003,0.5045840908795742,1.8117300776803484,1.888210877806329,0.3116289613803623,0.5896948897062639,2.027967102330824,3.0315008874417813,0.3526947625806021,0.4963202189855785,1.9692271807479576,2.4920136433578985,0.2975469199085107,0.5091164835184551,1.6746769798370444,3.5218396774415406,0.3899566393353684,0.5252497436972121,0.636597244227171,0.3665684347171641,0.20865956646712536,0.1015692005111871,0.5903399571264972,0.49778494872336865,0.09583008069058258,0.09795679147899744,0.5315600134245279,0.7062819777398623,0.07628947853507224,0.10468447645587017,0.474856113121153,0.45134675887241027,0.08803413206734777,0.10074520614035348,0.594664592437268,0.6414318399594879,0.0828453956269727,0.10488703406118223,0.5728179585894416,1.0676794613121428,0.052811177623662414,0.10977246032528594,0.45594791363492004,0.6650791847942176,0.06258652033427946,0.10263927435698894,0.6432707803413067,0.9192742753044273,0.07279575454351077,0.1085687002679528,0.549020076393703,0.7585744460351894,0.06496335489533138,0.10489894502731122,0.5961292320181386,1.0691489496217392,0.0622632727090307,0.11181219886083492
6,6,6,s3m7_usuario15,Pro-social,90.0,Pro-social,0.0,3.752885669307825,0.5342108616303167,0.14668544100496614,0.7112074798715821,1,1,4.537531202253367,0.03017885030941073,0.4866062029794538,0.514839831449135,3.833455896110113,0.8569624305839166,0.4534658733172355,0.4537180027880142,2.6073427702991627,1.297551251107249,0.4742496298889341,0.5228230751675197,2.5047231789303352,0.9395066320597841,0.4045800872045216,0.6228480089356329,1.99003521050786,2.4770054938423627,0.3738355598369292,0.5014194987813968,2.340444597427997,1.2061168913911908,0.11138339550908984,0.538397924471623,1.9899856452914189,2.735087264322225,0.3145149308280884,0.5009097795257726,2.2774549900812815,1.0176934137786853,0.3318898280557282,0.6503204791576789,2.2207229079972284,1.8362453771617184,0.3605526438016764,0.514415146126697,2.6511660047324144,1.0547272648561283,0.3408721063183631,0.5532057508921912,0.5234510649685583,0.14378393526219746,0.23601291123148646,0.08202291444896535,0.7016559241540504,0.27173183102738246,0.1740992667476616,0.09142514840809038,0.570970222990439,0.4345751690559829,0.13322746599164703,0.09885016716822205,0.47184463741164084,0.4017635431024211,0.11479771153806097,0.09909925301991657,0.565538158014832,0.7608619258448959,0.07553504914258255,0.10434198335712037,0.4618607874307483,0.4418461315258038,0.035689813500567276,0.09326227440931001,0.6066246710152352,0.8397625354092977,0.06714977424249666,0.10600467892034786,0.44202471545116145,0.4426995849238285,0.08489335147222937,0.096044825524437,0.5421117262678294,0.5823964214269105,0.08759662172413604,0.10235425835386763,0.5267805267573634,0.37222465833591667,0.10596371527309538,0.09729340576501848
7,7,7,s3m7_usuario16,Pro-social,90.0,Pro-social,4.0,2.3267649589457617,0.9264227140317814,0.3020669460294599,0.7012458925033108,1,1,2.6689806306437407,-0.1615476979343948,0.738327375883552,0.5541934413698972,2.472703465200312,1.416825174911294,0.19361968586611691,0.5123802543315049,2.2583847605993452,2.5313799326070967,0.4924097130723513,0.4826507786905541,2.584801461167706,2.451532445384752,0.3077942175115964,0.453525746168945,2.1583450091854672,2.4559680298237727,0.2991612291075771,0.4882787688370305,1.7889947397669637,2.594092754186281,0.25295488387019704,0.5282068480876083,1.6496165796748483,3.1741476601395067,0.2913829136423625,0.5255674450673296,2.0310993576827823,2.736692129239859,0.2581206104375854,0.4964833958847256,2.074817932412921,2.7712287231580977,0.3662454525842072,0.4890365102436465,1.9103235794581164,2.78101005752276,0.2755106465319888,0.5056660978881915,0.4315490164643252,0.30176203008394314,0.26575803057161607,0.0891687750075983,0.5354905861889641,0.4697657411362827,0.05804253692754296,0.09745547622798736,0.6522425099146861,0.7583767512097846,0.09279711220488715,0.10450962728081548,0.6876638273935821,0.7144509795755722,0.07578760581636247,0.09906931933192312,0.614638613431808,0.7388212489047377,0.06928047948896685,0.10396846359802318,0.5150702369533225,0.8359333683794816,0.055750823083497957,0.10553070396677629,0.538169950397626,0.9841064839785681,0.05287975682538106,0.10610409583066666,0.5867883646751976,0.8034125350875498,0.060976460751771926,0.10728338033300207,0.6337916040677394,0.8044353156472579,0.07926299527003675,0.10480470586795589,0.5693724859275912,0.8414510893884255,0.06097189962278596,0.10514266251723893
8,8,8,s3m7_usuario12,Pro-social,82.0,Pro-self,-16.0,4.0105912652538125,0.10538371410524801,0.3741350367760437,0.8608284697973727,1,0,5.3334314519884565,-0.10564056345969508,0.4645952243722358,0.609101052062084,3.079105504495737,0.9026819639453064,0.4703991363421545,0.5379108028074779,1.9855127299447857,1.596009187274258,0.3862083011936413,0.5785229676686404,2.4268572444397503,0.5704039821530131,0.3519635752582072,0.5762247952732681,3.2009405006635867,0.2179250117759272,0.33189592461872913,0.7311792296687071,1.884587884184736,2.926062987749169,0.31333573735934306,0.5052723259453152,1.5900314364316537,3.1726418243689567,0.33505255498748304,0.5525913535988701,1.825819633505388,2.4096267295001192,0.32989776344926913,0.5367962989099422,2.5621215811636646,1.1195824804322554,0.3098698857848326,0.533250309095336,2.547521922326988,0.8420567546876182,0.2347894985514317,0.6125999385580263,0.6675684369767675,0.12975016895069322,0.2188318325583805,0.08313973837624006,0.566868293158171,0.32325202571824885,0.17186948694818446,0.0968811709735186,0.5017161913454578,0.5946383150203596,0.09456557853101787,0.11142337487908892,0.3578388374553641,0.3220105662751658,0.1128632057156188,0.08886207235368276,0.46933137008042924,0.22947839778515125,0.10330848800176784,0.07236698672309769,0.5552368230430567,0.8701636117682605,0.058581192322888144,0.10326643149344282,0.5096456045380852,0.979376413327115,0.05371192351808077,0.11156172822657102,0.5205436298640931,0.7673012966794491,0.06672799644551895,0.1088183945781697,0.5201138608239724,0.4043475754530309,0.09714946248885006,0.09710121510311402,0.46658979132440975,0.35106723717534905,0.07309010055077336,0.0893318377989773
9,9,9,s3m7_usuario6,Pro-social,90.0,Pro-social,20.0,2.9108640765386204,0.4460950132170321,0.2631437199874218,0.8248346401405959,1,1,3.7227715556594063,0.1888866819757035,0.5881956271297952,0.4893235732096912,2.692595749974079,2.186169057984905,0.6541525240548783,0.4579666371057293,2.362236863572786,3.2671987027823586,0.4035708634200368,0.44947730670865627,1.7813574590852637,2.84868352873059,0.3322822684929257,0.5147636109278929,1.8601048360036927,0.4132225854350496,0.2796560324074658,0.6259067734716904,1.7524005276305108,5.234802568278832,0.2677220242237627,0.4856100309849578,1.6230799296263672,4.183672245694893,0.2390102366049672,0.5101451718048025,1.7718758502246472,4.253815857015428,0.2436409612158204,0.4957658423170498,1.5207121531640766,3.812486658295913,0.2348903842281756,0.53736629743865,2.13758647223468,1.0624620975756796,0.2255774771322032,0.6681153677382644,0.48895249217306097,0.19948484765030608,0.28517186364410735,0.0860211336152895,0.7724560838160034,0.6305005749992787,0.14979038174029427,0.10415444401612098,0.718876163653714,0.9201534069196112,0.07460662291999295,0.10050112330020865,0.5638573134506369,0.8916009105456696,0.06534816948702823,0.11038993979904543,0.3217628139261868,0.45620834946814287,0.06778176010149631,0.09704368467807217,0.6318982281061035,1.4868217923495262,0.03938984473299237,0.11051887614077628,0.5552613472342199,1.2249342342414273,0.04118851275070905,0.10982498432674728,0.5946720427462019,1.1959977841323959,0.040469593708890736,0.1095524410909155,0.4788516658659391,1.1375328489963519,0.03607666638158016,0.1070761685255008,0.4141688608088096,0.4590875625950553,0.05663553913128279,0.08987000809348192
