,user,type,score,type_adj,score_adj,a,v,t,z,y,y_adj,a10,v10,t10,z10,a20,v20,t20,z20,a30,v30,t30,z30,a40,v40,t40,z40,a50,v50,t50,z50,a60,v60,t60,z60,a70,v70,t70,z70,a80,v80,t80,z80,a90,v90,t90,z90
91,s5m20_usuario16,Pro-self,-20.0,Pro-self,-4.0,2.605435734603585,-0.25443720718763424,0.5441539628230517,0.5643382068034425,0,0,3.3689140399899307,0.37906897311960536,0.5550496468315771,0.5036413194084602,2.906380707309254,0.05523287580007236,0.6785273912237765,0.4642157323041484,2.967423921656616,0.05482017074480266,0.5848243457972905,0.4926961629957984,2.6822739304844534,-0.09238340184925974,0.6734357944606305,0.49082281582209947,2.676220497444747,-0.14044072501702437,0.7038494405999743,0.4955414903157881,2.5928338902417174,-0.13476242956247292,0.668962426846162,0.5061093144791203,2.559111612519204,-0.20296365597271168,0.6648579607242217,0.5315312964920369,2.5752415261455583,-0.23217617108566865,0.6752092866720759,0.5247805736854132,2.5736663035683667,-0.24322022956000025,0.6215910567275794,0.521244734057601
92,s5m20_usuario17,Pro-social,12.0,Pro-social,76.0,3.3098382594257356,-0.10104849074244888,0.28690800799669813,0.6446025103712372,1,1,5.526102607747621,-0.12602071505184748,0.46979237712628713,0.6064601036762576,4.656258700712915,0.053545938308068926,0.5543730799746323,0.5889712900769128,4.17463978518862,0.07485692199400816,0.5749517141423174,0.5910615261463359,3.7606512002959636,0.06652707958514582,0.38336676787546264,0.537688063727771,3.492308639512395,0.05327342363685606,0.3817705272333211,0.49171664281451427,3.4914648920359515,0.06794922323306163,0.3941164203095652,0.47356437959369285,3.5838583035503584,-0.014823133843318693,0.39349934483623256,0.4869657789302446,3.550086316991107,-0.0632875403207755,0.37260108349503324,0.5083255107779365,3.4412175629632715,-0.09861151536314425,0.2421785740864252,0.5984271511882117
93,s5m20_usuario18,Pro-self,-18.0,Pro-social,48.0,2.6164304936074334,-0.07790319611771314,0.5760951728127381,0.46035358112312524,0,1,3.601475505409742,0.015406832624877662,0.6440501800458588,0.4930910185170388,3.211240300225126,-0.033049943574068125,1.15163143129359,0.4796543130044182,2.850921479257895,-0.1029283241362875,1.2547271869146985,0.570837459858043,2.846666994229951,-0.09617921857794177,0.9507966319035556,0.5161987729761698,2.690055948375064,-0.09992724112146582,0.9956834373800825,0.5475246091038137,2.8875144951535145,-0.03736379296653134,0.5847527876710057,0.47873477493331545,2.808478711879332,-0.0323788668164813,0.5553989012528705,0.4678986580535357,2.6978204914027106,-0.0819007191910627,0.5902326022402017,0.44255395822573185,2.6663054588742785,-0.047796497933545776,0.591776313880585,0.4561486483073919
94,s6m22_usuario1,Pro-self,-14.0,Pro-social,64.0,3.3966486140730945,-0.1051970493300841,0.5232134357670748,0.5203379363891486,0,1,4.499035193139559,0.1104666154823677,0.5459098660463633,0.4727796806943971,4.553927387576821,0.08828296947241433,0.5945099505177213,0.45011802624881114,4.38112955534988,0.0367694925732062,0.7619944007283728,0.46352073532308147,4.116653191307589,-0.030747028713355426,0.6849488737508937,0.5301180198772465,3.801270021025351,-0.08132279463644199,0.7262643183937432,0.537012878148546,3.70006591900315,-0.06611233708181767,0.47953164777719287,0.5127582429282802,3.626621069100016,-0.04556813264110904,0.5208636137545862,0.5001122582283564,3.5487127236600697,-0.10291547454462899,0.49407576628057975,0.5169980655863845,3.4900640623266055,-0.08753362978445546,0.4934903992156552,0.5100592613410325
95,s6m22_usuario2,Pro-self,-100.0,Pro-self,-120.0,3.4227471193460466,-1.1265889092498618,0.3542560352739839,0.3447864093055392,0,0,3.2365215266898213,-1.0084384364052705,0.5441000616715183,0.501855617707742,3.071399091260632,-1.0615882826751104,0.3838304078450853,0.44194562699983664,3.00579319018868,-1.0884911152593144,0.32658273564916224,0.39900999780308855,2.8732447224533018,-1.126441366777539,0.35199108153123343,0.35996996980238793,2.824180712800713,-1.2036191234346767,0.38270027009094465,0.33749245508898035,2.9532707210029994,-1.1846481794564159,0.3905341176498613,0.32576851294225395,2.985863984835654,-1.2572667797865122,0.38373223406737844,0.34421916487625187,3.198551204270376,-1.1880126356695166,0.3761287640077499,0.3358531287286076,3.3748400191516073,-1.0643826036272923,0.3787362003206451,0.3155133667144319
96,s6m22_usuario3,Pro-self,-90.0,Pro-self,-88.0,5.170319514282551,-0.30024126843963744,0.12699669840616543,0.3202812254357081,0,0,5.497314606349854,-0.10655001800361001,0.4734001719379055,0.4798334206308791,5.837587695643637,-0.23224481530206229,0.501259828399604,0.4758434734379365,5.68922652426101,-0.2501972460542719,0.48511561290244165,0.46180305283719747,5.4010723883681395,-0.1689117741924606,0.14325558174663625,0.29709488174004856,5.3248695451342,-0.17019592129418265,0.16586527111122676,0.2533102371781974,5.382708149008076,-0.1991989655891824,0.1536511440065694,0.2650683169301226,5.400174246001069,-0.2294226303838161,0.15532821005360276,0.2691138617417256,5.432154852311434,-0.2598108721409405,0.13841528762359312,0.2885405295193353,5.486864652521333,-0.2848790723337568,0.12682087719936183,0.30079045785186503
97,s6m22_usuario4,Pro-social,2.0,Pro-social,112.0,2.636054390094025,0.010967221329567324,0.5673623310006599,0.5043144614981007,1,1,3.652087483952987,0.11757533280204005,0.5541635416972945,0.4872754116414391,3.669622363632464,0.008683974503153327,0.6310115435526981,0.4918058107902114,3.213691804640349,-0.009296909469945417,0.8847422918078557,0.5091647643725563,3.1098381193707594,-0.04496141621785041,0.6778812592910971,0.5592396561138032,2.8913937413432436,-0.05589991543415904,0.6954895446440365,0.5413778977910749,2.893545553420657,-0.00219311428791674,0.46938112962758055,0.5191360065917553,2.818781892637562,-0.020768415166402657,0.5032848656614448,0.5153935170551576,2.7526200886762386,-0.00022130505797679853,0.5284605548107267,0.5114672508138032,2.6978430817352685,-0.010749995674722124,0.548034254372042,0.507736661316865
98,s6m22_usuario5,Pro-self,-86.0,Pro-self,-72.0,3.036715035958685,-0.21729818030752104,0.39794673836257693,0.13680414810977234,0,0,3.9912711571117856,-0.027695190446837086,0.192915450154355,0.34481554411255577,3.8667273093056944,-0.07248269509543542,0.21966888068473114,0.3256556853705222,3.5200232597134056,-0.09099744384824376,0.28345091692392166,0.27216995361954655,3.2220824903989262,-0.09505594044656192,0.35247171409224826,0.23743994868933432,3.1532634769636845,-0.07797244172317187,0.3789476557378519,0.18186696627213922,3.1194469212654043,-0.09225203051361454,0.39884602828306365,0.16005174589633006,3.0921040091503795,-0.1315256542570097,0.38629277534361006,0.15453147620483348,3.0802222119662535,-0.15258501283410764,0.39247746155927987,0.14315330489311365,3.063893373011006,-0.19093571424881925,0.3959334984459085,0.14095411840818026
99,s6m22_usuario6,Pro-self,-20.0,Pro-social,48.0,1.8266114119243215,-0.25617998811017456,0.3867887187048935,0.5190090636497974,0,1,2.3355338853639886,0.13584950748685973,0.5242644338605025,0.5325246202342396,1.9503260017744948,-0.22763234847476704,0.664740753172893,0.5603593056157585,2.049967897253265,-0.13494109390726902,0.5040671774970938,0.46928612654532087,2.105685107229975,-0.16537107758446395,0.46630949825166973,0.43456271858009793,2.105487320498722,-0.16301732733871735,0.4814783273617371,0.41955096613217374,2.0224024883540412,-0.35447452736971985,0.3721221811773587,0.5242677658168688,1.8555056816149709,-0.28967543910043614,0.39994470599055676,0.5781706432201725,1.8690122868220453,-0.30977223629561945,0.3834737728289309,0.5469387189522159,1.8218310098422867,-0.2663629884386316,0.38341671626592594,0.5137314890869413
100,s6m22_usuario7,Pro-self,-74.0,Pro-self,-68.0,3.366400474221923,-0.311029626781383,0.5055478679277106,0.31495232993052297,0,0,4.350648500199071,-0.17036568076211214,0.5421982276719319,0.5028232952900593,3.983261395424812,-0.1087393036787879,0.455854252123861,0.4087094454282728,3.9775203098317555,-0.12127226036597558,0.5585681323862824,0.3344630688402762,3.7301233931158397,-0.21531974545502375,0.5374449499281907,0.3777408757838974,3.5031272500468047,-0.23913233753745472,0.5611672941957476,0.38120953864712476,3.446864741340509,-0.28283969247976976,0.6218683753242968,0.3633253625591264,3.4065821549487016,-0.26807074836221223,0.5159445992535939,0.34905115477483517,3.399651870557243,-0.2728850748537161,0.47090939948808264,0.3361622034254313,3.3941410135038006,-0.28163324451492644,0.4922365227995079,0.32000593067622896
