round player action_player opponent action_opponent payoff time_php time_js who_played
6 usuario10 D ['usuario5'] C 4 3229.79998589 3205 user
6 usuario11 C ['usuario8'] D 0 1610.80002785 1586 user
6 usuario12 D ['usuario1'] D 1 4869.40002441 4844 user
6 usuario13 C ['usuario4'] D 0 1298.10023308 1237 user
6 usuario14 D ['usuario2'] D 1 5941.09988213 5914 user
6 usuario15 D ['usuario16'] C 4 12042.2000885 12011 user
6 usuario16 C ['usuario15'] D 0 4545.20010948 4520 user
6 usuario17 D ['usuario18'] C 4 15755.600214 15726 user
6 usuario18 C ['usuario17'] D 0 4335.8001709 4316 user
7 usuario1 D ['usuario10'] D 1 6969.59996223 6941 user
7 usuario2 C ['usuario13'] C 3 1997.99990654 1971 user
7 usuario3 D ['usuario5'] D 1 2094.19989586 2068 user
7 usuario4 C ['usuario12'] D 0 1776.69978142 1756 user
7 usuario5 D ['usuario3'] D 1 9680.79996109 9651 user
7 usuario6 C ['usuario9'] D 0 13163.8000011 13131 user
7 usuario7 C ['usuario16'] D 0 2850.79979897 2825 user
7 usuario8 D ['usuario17'] C 4 2286.99994087 2257 user
7 usuario9 D ['usuario6'] C 4 8750.40006638 8720 user
7 usuario10 D ['usuario1'] D 1 6143.8999176 6114 user
7 usuario11 D ['usuario15'] D 1 2505.10001183 2479 user
7 usuario12 D ['usuario4'] C 4 2176.90014839 2159 user
7 usuario13 C ['usuario2'] C 3 1344.50006485 1318 user
7 usuario14 D ['usuario18'] C 4 9642.40002632 9622 user
7 usuario15 D ['usuario11'] D 1 24307.3000908 24270 user
7 usuario16 D ['usuario7'] C 4 3769.99998093 3739 user
7 usuario17 C ['usuario8'] D 0 11701.800108 11671 user
7 usuario18 C ['usuario14'] D 0 2554.60000038 2524 user
8 usuario1 C ['usuario13'] C 3 2013.70000839 1986 user
8 usuario2 C ['usuario14'] D 0 4784.80005264 4759 user
8 usuario3 D ['usuario7'] D 1 3088.39988708 3060 user
8 usuario4 D ['usuario9'] D 1 1734.59982872 1708 user
8 usuario5 C ['usuario11'] D 0 24165.3001308 24138 user
8 usuario6 D ['usuario8'] D 1 6546.0999012 6519 user
8 usuario7 D ['usuario3'] D 1 5445.39999962 5382 user
8 usuario8 D ['usuario6'] D 1 1966.09997749 1938 user
8 usuario9 D ['usuario4'] D 1 5257.20000267 5226 user
8 usuario10 D ['usuario15'] D 1 6306.90002441 6274 user
8 usuario11 D ['usuario5'] C 4 4343.10007095 4319 user
8 usuario12 D ['usuario18'] D 1 10923.0000973 10891 user
8 usuario13 C ['usuario1'] C 3 1193.59993935 1167 user
8 usuario14 D ['usuario2'] C 4 4342.00000763 4317 user
8 usuario15 D ['usuario10'] D 1 9372.49994278 9344 user
