round player action_player opponent action_opponent payoff time_php time_js who_played
1 usuario1 D ['usuario3'] C 4 3523.60010147 3499 user
1 usuario2 C ['usuario13'] D 0 4682.89995193 4667 user
1 usuario3 C ['usuario1'] D 0 2788.39993477 2770 user
1 usuario4 C ['usuario17'] D 0 5451.99990273 5404 user
1 usuario5 D ['usuario16'] D 1 5762.4001503 5721 user
1 usuario6 C ['usuario10'] D 0 6269.29998398 6222 user
1 usuario7 D ['usuario9'] C 4 12405.6999683 12378 user
1 usuario8 D ['usuario14'] C 4 8099.2000103 8067 user
1 usuario9 C ['usuario7'] D 0 4430.99999428 4413 user
1 usuario10 D ['usuario6'] C 4 15343.4000015 15293 user
1 usuario11 D ['usuario15'] D 1 5780.69996834 5753 user
1 usuario12 C ['usuario18'] C 3 4720.00002861 4678 user
1 usuario13 D ['usuario2'] C 4 3954.10013199 3931 user
1 usuario14 C ['usuario8'] D 0 2832.39984512 2800 user
1 usuario15 D ['usuario11'] D 1 14042.5000191 14010 user
1 usuario16 D ['usuario5'] D 1 4047.6000309 4022 user
1 usuario17 D ['usuario4'] C 4 8308.70008469 8254 user
1 usuario18 C ['usuario12'] C 3 5722.59998322 5696 user
2 usuario1 D ['usuario6'] C 4 4525.00009537 4499 user
2 usuario2 C ['usuario5'] D 0 2392.60005951 2364 user
2 usuario3 C ['usuario7'] C 3 6198.69995117 6169 user
2 usuario4 C ['usuario18'] C 3 2821.8998909 2799 user
2 usuario5 D ['usuario2'] C 4 3050.29988289 3020 user
2 usuario6 C ['usuario1'] D 0 7851.09996796 7818 user
2 usuario7 C ['usuario3'] C 3 15350.0001431 15321 user
2 usuario8 D ['usuario16'] D 1 18363.8999462 18330 user
2 usuario9 C ['usuario14'] C 3 6051.80001259 6008 user
2 usuario10 C ['usuario13'] D 0 28444.0000057 28422 user
2 usuario11 D ['usuario12'] C 4 3398.69999886 3380 user
2 usuario12 C ['usuario11'] D 0 5736.5000248 5693 user
2 usuario13 D ['usuario10'] C 4 2761.89994812 2744 user
2 usuario14 C ['usuario9'] C 3 3463.20009232 3440 user
2 usuario15 D ['usuario17'] D 1 24874.0999699 24842 user
2 usuario16 D ['usuario8'] D 1 4943.59993935 4905 user
2 usuario17 D ['usuario15'] D 1 5761.80005074 5733 user
2 usuario18 C ['usuario4'] C 3 6147.50003815 6127 user
3 usuario1 D ['usuario9'] D 1 1608.99996758 1582 user
3 usuario2 D ['usuario6'] D 1 10586.1999989 10529 user
3 usuario3 C ['usuario14'] C 3 1724.90000725 1696 user
3 usuario4 C ['usuario17'] C 3 1836.19999886 1812 user
3 usuario5 D ['usuario7'] C 4 2268.30005646 2240 user
3 usuario6 D ['usuario2'] D 1 8528.19991112 8500 user
3 usuario7 C ['usuario5'] D 0 6249.79996681 6221 user
3 usuario8 D ['usuario10'] D 1 13118.0999279 13090 user
3 usuario9 D ['usuario1'] D 1 2430.90009689 2407 user
3 usuario10 D ['usuario8'] D 1 9987.30015755 9906 user
3 usuario11 D ['usuario16'] D 1 2336.99989319 2312 user
3 usuario12 D ['usuario15'] D 1 4273.2000351 4254 user
3 usuario13 D ['usuario18'] C 4 3966.60017967 3936 user
3 usuario14 C ['usuario3'] C 3 1266.19982719 1249 user
3 usuario15 D ['usuario12'] D 1 25406.1000347 25368 user
3 usuario16 D ['usuario11'] D 1 9363.69991302 9333 user
3 usuario17 C ['usuario4'] C 3 3542.0999527 3517 user
3 usuario18 C ['usuario13'] D 0 4029.20007706 4000 user
4 usuario1 C ['usuario12'] D 0 2855.00001907 2836 user
4 usuario2 D ['usuario6'] D 1 3660.79998016 3636 user
4 usuario3 C ['usuario14'] C 3 1419.20018196 1401 user
4 usuario4 C ['usuario11'] D 0 1860.50009727 1836 user
4 usuario5 D ['usuario8'] D 1 1079.99992371 1060 user
4 usuario6 D ['usuario2'] D 1 6469.39992905 6442 user
4 usuario7 D ['usuario15'] C 4 2316.20001793 2287 user
4 usuario8 D ['usuario5'] D 1 13200.5000114 13157 user
4 usuario9 C ['usuario16'] D 0 4304.40020561 4277 user
4 usuario10 D ['usuario17'] D 1 19608.0999374 19576 user
4 usuario11 D ['usuario4'] C 4 1372.40004539 1346 user
4 usuario12 D ['usuario1'] C 4 3555.20009995 3533 user
4 usuario13 D ['usuario18'] D 1 2373.4998703 2355 user
4 usuario14 C ['usuario3'] C 3 1488.89994621 1460 user
4 usuario15 C ['usuario7'] D 0 9068.40014458 9035 user
4 usuario16 D ['usuario9'] C 4 1971.60005569 1946 user
4 usuario17 D ['usuario10'] D 1 7451.70021057 7419 user
4 usuario18 D ['usuario13'] D 1 6288.39993477 6228 user
5 usuario1 D ['usuario9'] D 1 1980.90004921 1953 user
5 usuario2 D ['usuario4'] C 4 9668.40004921 9639 user
5 usuario3 C ['usuario12'] D 0 1410.39991379 1385 user
5 usuario4 C ['usuario2'] D 0 1035.90011597 1020 user
5 usuario5 D ['usuario11'] D 1 923.700094223 897 user
5 usuario6 C ['usuario7'] D 0 15559.9000454 15531 user
5 usuario7 D ['usuario6'] C 4 2103.89995575 2079 user
5 usuario8 D ['usuario14'] C 4 8430.00006676 8410 user
5 usuario9 D ['usuario1'] D 1 8396.39997482 8376 user
5 usuario10 C ['usuario15'] D 0 18326.2000084 18291 user
5 usuario11 D ['usuario5'] D 1 1732.30004311 1706 user
5 usuario12 D ['usuario3'] C 4 5975.69990158 5927 user
5 usuario13 D ['usuario18'] C 4 1323.60005379 1296 user
5 usuario14 C ['usuario8'] D 0 1173.00009727 1146 user
5 usuario15 D ['usuario10'] C 4 4229.30002213 4204 user
5 usuario16 D ['usuario17'] D 1 4215.70014954 4189 user
5 usuario17 D ['usuario16'] D 1 3811.19990349 3786 user
5 usuario18 C ['usuario13'] D 0 2673.6998558 2632 user
6 usuario1 D ['usuario12'] D 1 2409.59978104 2381 user
6 usuario2 C ['usuario8'] C 3 15080.2001953 15052 user
6 usuario3 C ['usuario6'] D 0 1831.50005341 1807 user
6 usuario4 C ['usuario9'] D 0 1710.3998661 1679 user
6 usuario5 D ['usuario11'] D 1 916.499853134 889 user
6 usuario6 D ['usuario3'] C 4 14012.2001171 13981 user
6 usuario7 D ['usuario18'] D 1 2826.20000839 2801 user
6 usuario8 C ['usuario2'] C 3 11633.3999634 11604 user
6 usuario9 D ['usuario4'] C 4 8544.39997673 8524 user
6 usuario10 C ['usuario17'] C 3 13676.3000488 13624 user
6 usuario11 D ['usuario5'] D 1 2017.69995689 1987 user
6 usuario12 D ['usuario1'] D 1 4115.89980125 4083 user
6 usuario13 D ['usuario16'] D 1 1255.30004501 1229 user
6 usuario14 C ['usuario15'] D 0 1229.09998894 1201 user
6 usuario15 D ['usuario14'] C 4 12764.0001774 12736 user
6 usuario16 D ['usuario13'] D 1 2008.69989395 1989 user
6 usuario17 C ['usuario10'] C 3 3740.79990387 3711 user
6 usuario18 D ['usuario7'] D 1 3021.50011063 2994 user
7 usuario1 D ['usuario17'] D 1 2115.79990387 2086 user
7 usuario2 C ['usuario12'] D 0 22516.5998936 22484 user
7 usuario3 C ['usuario13'] D 0 2653.10001373 2622 user
7 usuario4 D ['usuario18'] D 1 701.900005341 676 user
7 usuario5 D ['usuario16'] D 1 789.299964905 770 user
7 usuario6 D ['usuario14'] D 1 9938.80009651 9917 user
7 usuario7 D ['usuario15'] D 1 15135.999918 15087 user
7 usuario8 D ['usuario10'] C 4 12566.0998821 12543 user
7 usuario9 D ['usuario11'] D 1 3488.39998245 3436 user
7 usuario10 C ['usuario8'] D 0 17845.8001614 17735 user
7 usuario11 D ['usuario9'] D 1 1048.90012741 1024 user
7 usuario12 D ['usuario2'] C 4 13234.2998981 13201 user
7 usuario13 D ['usuario3'] C 4 1170.30000687 1144 user
7 usuario14 D ['usuario6'] D 1 1951.49993896 1924 user
7 usuario15 D ['usuario7'] D 1 7148.29993248 7115 user
7 usuario16 D ['usuario5'] D 1 8610.49985886 8548 user
7 usuario17 D ['usuario1'] D 1 3460.99996567 3435 user
7 usuario18 D ['usuario4'] D 1 1995.20015717 1978 user
8 usuario1 C ['usuario13'] D 0 1528.89990807 1511 user
8 usuario2 D ['usuario8'] D 1 4452.10003853 4432 user
8 usuario3 D ['usuario4'] C 4 1748.70014191 1721 user
8 usuario4 C ['usuario3'] D 0 1051.5999794 1023 user
8 usuario5 D ['usuario17'] D 1 1060.19997597 1035 user
8 usuario6 D ['usuario14'] C 4 14811.8000031 14776 user
8 usuario7 C ['usuario12'] C 3 1984.59982872 1958 user
8 usuario8 D ['usuario2'] D 1 9084.1999054 9061 user
8 usuario9 D ['usuario10'] D 1 2409.50012207 2382 user
8 usuario10 D ['usuario9'] D 1 12953.400135 12916 user
