userid,rt,response,round,context,strategy
126,11.92, 1, 1,nan,MCC
126, 9.33, 0, 2, 4,MCC
126,26.10, 0, 3, 3,MCC
126, 7.38, 0, 5, 4,MCC
126,23.94, 0, 6, 1,MCC
126,18.11, 0, 7, 4,MCC
126,12.23, 1, 8, 3,MCC
126,12.19, 0, 9, 4,MCC
126,19.73, 0,10, 4,MCC
126,17.13, 0,11, 4,MCC
126,18.78, 1,12, 2,MCC
126, 7.63, 0,13, 1,MCC
126,14.20, 0,14, 3,MCC
126, 6.50, 1,15, 3,MCC
126,15.85, 0,16, 3,MCC
126,11.42, 0,17, 4,MCC
126,24.22, 1,18, 0,MCC
126, 9.24, 1,19, 4,MCC
126,29.51, 1,20, 3,MCC
126,10.69, 1,21, 0,MCC
126, 4.72, 0,22, 1,MCC
126, 7.36, 0,23, 3,MCC
126,22.75, 0,24, 3,MCC
126,18.61, 0,25, 3,MCC
126,25.78, 0,26, 3,MCC
126,25.17, 0,27, 2,MCC
126,13.43, 1,28, 2,MCC
126, 6.75, 1,29, 3,MCC
126,15.83, 0,30, 2,MCC
126, 9.97, 1,31, 4,MCC
126, 5.92, 0,32, 0,MCC
126,25.06, 0,33, 2,MCC
126,22.75, 0,34, 2,MCC
126,18.63, 0,35, 2,MCC
126,24.55, 0,36, 0,MCC
126,19.42, 1,37, 2,MCC
126,18.50, 0,38, 2,MCC
126,28.46, 0,39, 2,MCC
126,19.00, 0,40, 2,MCC
126,22.88, 0,41, 3,MCC
126, 9.68, 1,42, 1,MCC
126, 4.94, 1,43, 0,MCC
126, 4.94, 1,44, 1,MCC
126,10.72, 1,45, 3,MCC
126,10.30, 0,46, 4,MCC
126, 9.02, 0,47, 2,MCC
 64, 8.53, 0, 1,nan,MCC
 64,20.70, 1, 2, 6,MCC
 64, 9.51, 0, 3, 1,MCC
 64, 7.76, 1, 4, 4,MCC
 64, 5.53, 0, 5, 4,MCC
 64,17.15, 1, 6, 1,MCC
 64, 8.40, 1, 7, 3,MCC
 64, 6.39, 1, 8, 1,MCC
 64, 6.52, 0, 9, 5,MCC
 64, 5.56, 1,10, 3,MCC
 64, 7.05, 0,11, 1,MCC
 64, 2.69, 0,12, 3,MCC
 64, 3.76, 0,13, 3,MCC
 64, 3.72, 1,14, 1,MCC
 64, 6.08, 0,15, 2,MCC
 64, 4.96, 0,16, 4,MCC
 64, 3.39, 0,17, 1,MCC
 64, 2.57, 1,18, 1,MCC
 64, 6.32, 1,19, 4,MCC
 64, 2.98, 0,20, 4,MCC
 64, 4.83, 0,21, 2,MCC
 64, 3.79, 1,22, 2,MCC
 64, 4.50, 0,23, 1,MCC
 64, 2.60, 0,24, 1,MCC
 64, 2.83, 1,25, 2,MCC
 64, 5.03, 0,26, 3,MCC
 64, 2.59, 0,27, 1,MCC
 64, 3.68, 1,28, 1,MCC
 64, 6.39, 0,29, 3,MCC
 64, 3.26, 1,30, 3,MCC
 64, 5.03, 0,31, 2,MCC
 64, 5.15, 0,32, 1,MCC
 64, 4.93, 1,33, 3,MCC
 64,11.94, 0,34, 0,MCC
 64, 4.40, 0,35, 3,MCC
 64, 5.29, 0,36, 1,MCC
 64, 2.33, 0,37, 1,MCC
 64, 8.32, 0,38, 2,MCC
 64, 3.28, 0,39, 1,MCC
 64, 4.07, 1,40, 1,MCC
 64, 3.33, 0,41, 1,MCC
 64, 2.79, 0,42, 0,MCC
 64, 4.88, 0,43, 2,MCC
 64, 4.52, 0,44, 3,MCC
 64, 4.24, 0,45, 3,MCC
 64, 2.74, 0,46, 4,MCC
 64, 4.42, 0,47, 1,MCC
143, 4.06, 1, 1,nan,MCC
143,14.42, 0, 2, 4,MCC
143, 7.04, 1, 3, 2,MCC
143, 2.03, 1, 4, 3,MCC
143, 5.37, 0, 5, 2,MCC
143, 4.62, 0, 6, 2,MCC
143, 4.31, 0, 7, 3,MCC
143,15.33, 1, 8, 1,MCC
143,19.03, 0, 9, 4,MCC
143,10.86, 0,10, 4,MCC
143, 8.76, 1,11, 1,MCC
143, 5.02, 1,12, 2,MCC
143, 4.08, 0,13, 2,MCC
143, 6.20, 0,14, 1,MCC
143, 6.57, 0,15, 2,MCC
143, 4.17, 0,16, 3,MCC
143, 5.88, 1,17, 1,MCC
143,11.05, 0,18, 1,MCC
143, 6.13, 1,19, 3,MCC
143, 4.52, 0,20, 3,MCC
143, 4.57, 0,21, 1,MCC
143, 4.52, 0,22, 2,MCC
143, 3.25, 0,23, 3,MCC
143,11.66, 1,24, 2,MCC
143, 5.76, 1,25, 1,MCC
143, 3.15, 0,26, 1,MCC
143,11.70, 0,27, 2,MCC
143, 5.96, 0,28, 1,MCC
143,11.94, 0,29, 2,MCC
143, 4.28, 0,30, 2,MCC
143, 3.80, 0,31, 4,MCC
143, 7.88, 1,32, 0,MCC
143, 7.12, 0,33, 3,MCC
143, 4.45, 1,34, 2,MCC
143, 4.14, 0,35, 0,MCC
143, 5.54, 0,36, 2,MCC
143, 8.64, 0,37, 1,MCC
143,12.12, 0,38, 2,MCC
143, 4.02, 0,39, 0,MCC
143, 7.32, 0,40, 1,MCC
143, 6.80, 0,41, 2,MCC
143, 4.73, 0,42, 0,MCC
143,10.35, 0,43, 2,MCC
143, 3.83, 0,44, 2,MCC
143, 2.84, 1,45, 1,MCC
143,15.97, 0,46, 1,MCC
143, 8.77, 1,47, 1,MCC
115, 9.50, 0, 1,nan,PD
115,11.37, 0, 2, 6,PD
115,20.15, 0, 3, 2,PD
115,25.27, 0, 4, 4,PD
115, 9.90, 0, 5, 4,PD
115,16.71, 0, 6, 3,PD
115,13.03, 0, 7, 5,PD
115,20.31, 0, 8, 1,PD
115,15.85, 0,10, 3,PD
115,23.62, 1,11, 2,PD
115, 9.00, 0,12, 2,PD
115,13.16, 0,13, 4,PD
115, 6.75, 0,14, 4,PD
115, 4.22, 0,15, 2,PD
115, 5.90, 0,16, 4,PD
115,10.99, 0,17, 3,PD
115, 8.84, 0,18, 3,PD
115, 6.16, 0,19, 2,PD
115, 9.61, 0,20, 3,PD
115,21.70, 0,21, 3,PD
115, 4.55, 1,22, 2,PD
115, 2.37, 0,23, 2,PD
115, 6.13, 0,24, 4,PD
115,12.22, 0,25, 2,PD
115, 7.02, 0,26, 1,PD
115, 6.89, 0,27, 2,PD
115, 6.44, 0,28, 2,PD
115, 8.08, 0,29, 0,PD
115,14.71, 0,30, 4,PD
115, 3.11, 0,31, 4,PD
115,15.02, 0,32, 2,PD
115, 3.54, 0,33, 6,PD
115, 6.12, 0,34, 3,PD
115, 7.59, 0,35, 2,PD
115, 5.76, 0,36, 2,PD
115,10.63, 1,37, 1,PD
115, 3.00, 0,38, 2,PD
115, 1.59, 0,39, 1,PD
115, 5.31, 0,40, 1,PD
115,17.44, 0,41, 1,PD
115, 2.05, 0,42, 2,PD
115, 5.30, 0,43, 3,PD
115, 3.44, 0,44, 3,PD
115, 9.49, 0,45, 4,PD
115, 5.87, 0,46, 4,PD
115, 4.36, 0,47, 0,PD
122, 5.45, 1, 1,nan,MCC
122, 8.56, 1, 2, 4,MCC
122, 3.66, 0, 3, 2,MCC
122, 6.09, 1, 4, 4,MCC
122,20.90, 0, 5, 1,MCC
122, 7.32, 1, 6, 3,MCC
122, 6.84, 1, 7, 3,MCC
122, 2.74, 0, 8, 0,MCC
122, 6.67, 0, 9, 3,MCC
122, 2.55, 1,10, 2,MCC
122, 2.71, 0,11, 2,MCC
122, 3.35, 0,12, 3,MCC
122, 5.99, 1,13, 3,MCC
122,13.62, 0,14, 3,MCC
122, 6.28, 0,15, 1,MCC
122, 7.99, 1,16, 2,MCC
122, 7.16, 0,17, 3,MCC
122, 3.76, 0,18, 3,MCC
122, 8.10, 0,19, 1,MCC
122,13.27, 1,20, 2,MCC
122, 8.48, 0,21, 2,MCC
122, 4.23, 0,22, 2,MCC
122, 9.10, 1,23, 3,MCC
122, 2.50, 0,24, 2,MCC
122, 5.96, 0,25, 1,MCC
122, 4.71, 0,26, 1,MCC
122, 5.52, 1,27, 2,MCC
122, 4.23, 0,28, 0,MCC
122, 7.64, 1,29, 2,MCC
122, 3.86, 1,30, 3,MCC
122, 5.66, 1,31, 3,MCC
122,10.26, 0,32, 1,MCC
122, 4.71, 1,33, 3,MCC
122,11.55, 1,34, 2,MCC
122, 4.32, 0,35, 0,MCC
122, 4.94, 0,36, 1,MCC
122, 4.81, 1,37, 2,MCC
122, 5.12, 1,38, 2,MCC
122, 4.27, 0,39, 1,MCC
122, 5.34, 0,40, 0,MCC
122, 6.90, 1,41, 2,MCC
122, 4.84, 1,42, 1,MCC
122, 2.85, 0,43, 1,MCC
122, 6.72, 1,44, 2,MCC
122, 2.64, 1,45, 5,MCC
