userid,rt,response,round
 6,1.604100,1.000,13
17,2.117000,0.000,13
 2,2.711000,0.000,13
14,2.383000,1.000,13
 4,0.581500,1.000,13
11,3.232500,0.000,13
 3,3.451200,1.000,13
 8,1.498000,1.000,13
 1,5.193600,1.000,13
 9,1.790800,0.000,14
18,3.167400,1.000,14
 7,0.731600,1.000,14
10,0.480900,1.000,14
13,1.987300,1.000,14
 5,1.559400,1.000,14
15,2.645500,1.000,14
16,1.005000,1.000,14
12,1.782500,1.000,14
 6,1.471000,1.000,14
17,1.886000,0.000,14
 2,5.913100,0.000,14
14,1.114400,1.000,14
 4,2.704300,1.000,14
11,4.716500,0.000,14
 3,1.456600,0.000,14
 8,1.762900,1.000,14
 1,2.729100,0.000,14
 9,3.460500,1.000,15
18,1.902500,1.000,15
 7,0.482400,1.000,15
10,0.719300,1.000,15
13,0.562000,1.000,15
 5,1.581300,1.000,15
15,1.922000,1.000,15
16,0.650700,1.000,15
12,3.907300,1.000,15
 6,1.226900,1.000,15
17,2.708500,1.000,15
 2,3.190400,1.000,15
14,1.753500,1.000,15
 4,0.714900,1.000,15
11,3.261500,1.000,15
 3,0.680300,0.000,15
 8,3.306300,1.000,15
 1,5.941700,1.000,15
 9,1.619100,0.000,16
18,3.060700,0.000,16
 7,0.525400,1.000,16
10,0.633600,1.000,16
13,0.579500,1.000,16
 5,0.896800,1.000,16
15,1.135400,1.000,16
16,0.831700,1.000,16
12,1.142800,1.000,16
 6,1.189100,1.000,16
17,2.590700,1.000,16
 2,4.697400,0.000,16
14,0.939900,1.000,16
 4,0.603100,1.000,16
11,4.745900,1.000,16
 3,0.607600,0.000,16
 8,1.571600,1.000,16
 1,1.509600,1.000,16
 9,4.057600,0.000,17
18,2.104800,0.000,17
 7,0.481800,1.000,17
10,0.656300,1.000,17
13,1.127800,1.000,17
 5,1.084200,1.000,17
15,4.864300,1.000,17
16,0.940700,1.000,17
12,1.517000,1.000,17
 6,0.978000,1.000,17
17,3.896600,1.000,17
 2,6.161200,0.000,17
14,1.085200,1.000,17
 4,0.713500,1.000,17
11,7.855300,1.000,17
 3,0.370100,0.000,17
 8,1.882700,1.000,17
 1,4.479600,0.000,17
 9,2.543500,1.000,18
18,2.333700,1.000,18
 7,0.541600,1.000,18
10,0.498300,1.000,18
13,0.736100,1.000,18
 5,0.588600,1.000,18
15,3.330100,1.000,18
16,0.386800,1.000,18
12,1.210100,1.000,18
 6,1.548000,1.000,18
17,1.294900,0.000,18
 2,4.783700,1.000,18
14,0.951400,1.000,18
 4,0.568000,1.000,18
11,0.936500,0.000,18
 3,0.644400,0.000,18
 8,2.006800,0.000,18
 1,5.833700,0.000,18
 9,4.922100,0.000,19
18,2.716300,1.000,19
 7,0.417700,1.000,19
10,0.720100,1.000,19
13,0.740600,1.000,19
 5,0.766000,1.000,19
15,2.307200,1.000,19
16,1.127500,1.000,19
12,0.964800,1.000,19
 6,1.030000,1.000,19
17,2.168300,0.000,19
 2,3.416100,0.000,19
14,1.664000,1.000,19
 4,0.590700,1.000,19
11,1.689200,0.000,19
 3,0.603600,0.000,19
 8,3.822200,0.000,19
 1,2.347800,0.000,19
 9,3.206000,1.000,20
18,1.216900,1.000,20
 7,0.577800,1.000,20
10,0.859800,1.000,20
13,1.874000,1.000,20
 5,1.528600,1.000,20
15,4.755700,1.000,20
16,0.793900,1.000,20
12,0.967200,1.000,20
 6,1.149000,1.000,20
17,3.306300,1.000,20
 2,2.421900,0.000,20
14,1.018800,1.000,20
 4,1.282400,1.000,20
11,4.488100,0.000,20
 3,1.694100,1.000,20
 8,2.469800,0.000,20
 1,1.294500,1.000,20
 9,2.516200,0.000,21
18,1.813400,0.000,21
 7,0.637700,1.000,21
10,0.465500,1.000,21
13,0.944000,1.000,21
 5,2.288700,1.000,21
15,4.481100,1.000,21
16,0.688000,1.000,21
12,0.561400,1.000,21
 6,1.105700,1.000,21
17,0.972900,0.000,21
 2,2.156600,1.000,21
14,0.920100,1.000,21
 4,0.753600,1.000,21
11,1.800000,1.000,21
 3,0.734800,1.000,21
 8,1.442700,1.000,21
