userid,rt,response,round,context,strategy
 86, 2.02, 0,47, 0,MCC
 86, 2.08, 0,48, 1,MCC
 86, 4.53, 0,49, 1,MCC
 86, 1.91, 0,50, 2,MCC
 86, 1.72, 0,51, 1,MCC
 86, 6.75, 1,52, 1,MCC
 86, 3.53, 0,54, 0,MCC
 86, 1.87, 0,55, 0,MCC
 86, 3.20, 0,56, 0,MCC
 86, 2.72, 0,57, 0,MCC
 86, 4.19, 0,58, 2,MCC
 22,16.55, 0, 1,nan,PD
 22, 4.94, 0, 2, 2,PD
 22, 7.03, 0, 3, 4,PD
 22, 7.91, 0, 4, 2,PD
 22, 7.66, 0, 5, 3,PD
 22, 4.34, 0, 6, 1,PD
 22, 8.92, 0, 7, 2,PD
 22, 4.93, 0, 8, 1,PD
 22, 6.17, 0, 9, 1,PD
 22, 4.77, 0,10, 1,PD
 22, 4.81, 0,11, 0,PD
 22, 5.52, 0,12, 1,PD
 22, 6.26, 0,13, 0,PD
 22, 5.84, 0,14, 2,PD
 22, 2.88, 0,15, 2,PD
 22, 8.34, 0,16, 2,PD
 22, 4.65, 0,17, 0,PD
 22, 5.32, 0,18, 0,PD
 22, 5.73, 0,19, 1,PD
 22, 5.95, 0,20, 3,PD
 22, 6.46, 0,21, 3,PD
 22, 8.25, 0,22, 2,PD
 22, 3.00, 0,23, 0,PD
 22, 5.17, 0,24, 1,PD
 22, 8.71, 0,25, 2,PD
 22, 4.26, 0,26, 2,PD
 22, 5.51, 0,27, 3,PD
 22, 5.19, 0,28, 2,PD
 22, 1.06, 0,29, 3,PD
 22, 5.25, 0,30, 1,PD
 22, 6.66, 0,31, 0,PD
 22, 6.34, 0,32, 0,PD
 22, 6.17, 0,33, 1,PD
 22, 3.47, 0,34, 1,PD
 22, 4.52, 0,35, 1,PD
 22, 4.57, 0,36, 0,PD
 22, 3.97, 0,37, 0,PD
 22, 5.58, 0,38, 1,PD
 22, 9.05, 0,39, 1,PD
 22, 9.91, 0,40, 3,PD
 22, 3.98, 0,41, 3,PD
 22, 5.08, 0,42, 3,PD
 22, 3.41, 0,43, 1,PD
 22, 4.72, 0,44, 0,PD
 22, 3.58, 0,45, 0,PD
 22, 2.57, 0,46, 0,PD
 22, 4.26, 0,47, 0,PD
 22, 3.29, 0,48, 0,PD
 22, 3.69, 0,49, 0,PD
 22, 5.22, 0,50, 2,PD
 22, 4.30, 0,51, 2,PD
 22, 2.49, 0,52, 2,PD
 22, 3.07, 0,53, 1,PD
 22, 5.05, 0,54, 3,PD
 22, 4.66, 0,55, 1,PD
 22, 4.17, 0,56, 0,PD
 22, 3.54, 0,57, 0,PD
 22, 3.98, 0,58, 1,PD
 37, 6.62, 1, 1,nan,MCC
 37, 6.29, 1, 2, 0,MCC
 37, 4.20, 1, 3, 3,MCC
 37, 6.14, 0, 4, 2,MCC
 37,10.00, 0, 5, 2,MCC
 37, 3.61, 1, 6, 2,MCC
 37, 6.44, 1, 7, 3,MCC
 37,10.14, 0, 8, 2,MCC
 37, 4.33, 0, 9, 2,MCC
 37, 8.42, 0,10, 3,MCC
 37, 6.31, 0,11, 2,MCC
 37, 6.19, 0,12, 0,MCC
 37, 8.43, 0,13, 0,MCC
 37,10.53, 0,14, 1,MCC
 37, 2.56, 1,15, 2,MCC
 37,12.44, 0,16, 3,MCC
 37, 8.19, 0,17, 0,MCC
 37, 2.13, 1,18, 1,MCC
 37, 7.25, 1,19, 0,MCC
 37, 5.04, 1,20, 2,MCC
 37, 5.02, 1,21, 3,MCC
 37, 4.02, 0,22, 2,MCC
 37, 5.84, 1,23, 1,MCC
 37, 4.01, 1,24, 2,MCC
 37,11.00, 0,25, 0,MCC
 37, 3.73, 1,26, 1,MCC
 37, 4.47, 1,27, 2,MCC
 37, 7.43, 1,28, 2,MCC
 37, 7.81, 1,29, 2,MCC
 37, 7.86, 0,30, 1,MCC
 37, 4.12, 0,31, 0,MCC
 37, 8.22, 0,32, 2,MCC
 37, 6.86, 0,33, 2,MCC
 37, 9.03, 0,34, 1,MCC
 37, 4.76, 0,35, 1,MCC
 37, 6.25, 0,36, 0,MCC
 37, 5.35, 0,37, 1,MCC
 37, 6.67, 0,38, 1,MCC
 37, 7.28, 0,39, 1,MCC
 37, 6.55, 0,40, 3,MCC
 37, 7.02, 1,41, 3,MCC
 37, 9.94, 0,42, 0,MCC
 37, 5.27, 0,43, 1,MCC
 37, 3.33, 0,44, 2,MCC
 37, 9.97, 0,45, 0,MCC
 37,16.27, 0,46, 0,MCC
 37, 5.33, 0,47, 2,MCC
 37, 9.88, 0,48, 1,MCC
 37, 9.32, 1,49, 1,MCC
 37, 8.11, 1,50, 1,MCC
 37, 6.10, 1,51, 3,MCC
 37, 4.20, 0,52, 1,MCC
 37,11.42, 1,53, 1,MCC
 37, 7.44, 0,54, 1,MCC
 37, 5.69, 0,55, 1,MCC
 37, 8.96, 0,56, 2,MCC
 37, 4.64, 0,57, 1,MCC
 37, 5.44, 1,58, 1,MCC
 61, 4.55, 0, 1,nan,PD
 61, 4.98, 0, 2, 2,PD
 61, 3.52, 0, 3, 6,PD
 61, 6.52, 0, 4, 5,PD
 61, 5.29, 0, 5, 2,PD
 61, 2.02, 0, 6, 2,PD
 61, 6.35, 0, 7, 6,PD
 61, 2.37, 0, 8, 3,PD
 61, 1.94, 0, 9, 2,PD
 61, 2.01, 0,10, 3,PD
 61, 4.21, 0,11, 2,PD
 61, 2.20, 0,12, 2,PD
 61, 1.96, 0,13, 1,PD
 61, 2.38, 0,14, 1,PD
 61, 6.76, 0,15, 1,PD
 61, 1.77, 0,16, 3,PD
 61, 5.43, 0,17, 1,PD
 61, 2.41, 0,18, 3,PD
 61, 1.61, 0,19, 1,PD
 61, 1.74, 0,20, 3,PD
 61, 2.36, 0,21, 2,PD
 61, 1.46, 0,22, 3,PD
 61, 1.57, 0,23, 2,PD
 61, 1.33, 0,24, 3,PD
 61, 1.28, 0,25, 2,PD
 61, 1.50, 0,26, 2,PD
 61, 2.04, 0,27, 3,PD
 61, 3.41, 0,28, 4,PD
 61, 3.31, 0,29, 3,PD
 61, 3.49, 0,30, 3,PD
 61, 4.25, 0,31, 1,PD
 61, 1.46, 0,32, 2,PD
 61, 1.59, 0,33, 2,PD
 61, 2.56, 0,34, 0,PD
 61, 2.72, 0,35, 0,PD
 61, 1.51, 0,36, 0,PD
 61, 4.67, 0,37, 1,PD
 61, 8.09, 0,38, 1,PD
 61, 3.71, 0,39, 3,PD
 61, 1.94, 0,40, 3,PD
 61, 1.96, 0,41, 2,PD
 61, 2.32, 0,42, 2,PD
